date,GW_01,GW_02,GW_03,GW_04,GW_05,GW_06,GW_07,GW_08,GW_09,GW_10,GW_11,GW_12,GW_13,GW_14,GW_15,GW_16,GW_17,GW_18,GW_19,GW_20,GW_21,GW_AV,GW_CH,GW_EW,GW_HF,GW_IM,GW_MJ,GW_MWD,GW_OW,GW_SBV,GW_SC,GW_SD,GW_VC,SR_BER,SR_BLB,SR_BUC,SR_BUL,SR_BVLB,SR_CAS,SR_CFW,SR_CLE,SR_CLK_INV,SR_CMN,SR_CR1,SR_CR2,SR_CR3,SR_CRW,SR_DLV,SR_DMV,SR_DNP,SR_EBMUD,SR_ENG,SR_FOL,SR_GNT,SR_HID,SR_HTH,SR_ISB,SR_LA,SR_LL_ENR,SR_LVQ,SR_MCR,SR_MHW,SR_MIL,SR_ML,SR_NHG,SR_NML,SR_OL,SR_ORO,SR_PAR,SR_PNF,SR_PRR,SR_PYM,SR_RLL_CMB,SR_SCAGG,SR_SCC,SR_SFAGG,SR_SHA,SR_SKN,SR_SLW,SR_SNL,SR_SS,SR_TAB,SR_TL,SR_TRM,SR_TUL,SR_WHI
31.10.1921,38542.02245,136626.8256,132767.1199,60703.54494,91145.83952,175038.4575,56522.4247,190688.8783,139435.8922,90234.43376,58857.07396,42563.84308,138223.25,178908.4713,309108.335,64776.54392,97237.9778,321482.4241,141922.0241,137098.1018,341275.1297,20003.10652,3489.7205,7016.434636,250,0,2595.146,715.005,30000.985,2497.963,457.335,7015.9372,288.3925,796.6970193,10.81569392,30.79167618,573.3134692,24.807,236.2784414,25.75474894,1834.892194,306.445053,4,0,0,4153.959599,54.52124715,27.74754545,604.3930785,735.0487763,121.6784452,66,530.4616453,20.88856146,4,36,217.1070443,10.25723537,127.1113093,88.023621,227.0678212,78.5,140.8231864,2941.383297,149.0627989,1028.72149,66.899,2634.877252,91.36258531,474.9209191,107.17272,168.8346335,41.753946,55.14494274,2.685882886,109.072652,2554.495449,33.8,20,506.5480132,6912.381572,9.7,4.7544,43.64,25.71626136,181.5
30.11.1921,38597.6311,136693.5365,132816.9066,60704.58825,91172.13322,175065.9216,56498.96931,190698.4538,139417.808,90251.3326,58860.62684,42558.17155,138223.8787,178956.7466,309118.7738,64823.57078,97248.5051,321525.0984,142034.1921,137113.602,341359.5423,20004.80788,3478.3048,7029.490996,250,0,2615.8625,677.863,30003.862,2512.895,495.773,7029.637,300.157,788.3835301,10,30.74825992,553.4930289,26.99021,194.120847,17.43422918,1735.264521,308.7655453,4,0,0,4031.481375,57.97976819,27.66277313,573.9645449,772.6255825,128.033521,64,525.0436237,18.98244488,4.47113092,36,185.13,10.2,76.38185965,87.89686699,215.9019079,78.5,173.6085235,2945.094836,140.6779456,1061.711905,88.19467409,2695.536308,55.99928607,441.223245,84.32796442,168.0757576,35.47248817,37,4.037811829,86.73167329,2598.354552,33.8,39.28060461,643.4981143,6883.485178,9.7,5.16132,11.26,16.58930653,181.501
31.12.1921,38636.89955,136743.6367,132875.2396,60774.4387,91234.11704,175139.2229,56490.6576,190723.4545,139497.3741,90332.72864,58900.78512,42598.51817,138283.6358,178996.3611,309210.7229,64858.52778,97260.2847,321615.4367,142134.3939,137127.257,341417.7428,20035.87788,3517.5443,7044.876676,250,0,2643.1895,646.62,30006.83,2525.705,520.0047424,7044.419,308.639,815.3815349,20.45477618,42.37445522,520.9034425,27.64008,311.3453417,1,1685.442913,316.8535581,4,0,0,3911.938792,18.3,27.63162776,543.0645449,854.4886273,135.97,62,575,17.20105788,15.28679233,36,166.4081937,10.2,30.1,75.53941337,242.95718,137.6244248,249.5404146,2949.891624,135.2154652,1110.134334,153.8657166,2804.803695,28.54676782,472.8861411,72.19099794,5.802244457,52.18031961,37,9.75,63.53824435,2784.500139,44,20,613.9044369,6871.807215,9.7,5.53418,9.94,13.8712797,181.499
31.01.1922,38665.2034,136773.5264,132897.3531,60775.75538,91236.22678,175149.2649,56465.38346,190742.1324,139524.2857,90334.01716,58920.5808,42602.18244,138301.2063,179029.4628,309267.7251,64884.0523,97274.3328,321703.1921,142212.809,137139.6308,341460.2134,20045.76324,3525.0668,7055.558476,250,0,2680.6975,617.068,30009.894,2536.888,577.4427424,7055.755,309.949,815.314262,30.89313809,52.33893685,352.2074671,35.63707,302.8093397,7.9984,1697.157205,327.0175316,4,0,0,3764.54204,18.3,27.63340619,512.2669778,896.6546315,143.05,62,558.2077698,15.12416579,23.74240898,47.03401434,183.36,10.2,30.1,72,266.4486576,182,326.3619323,2954.685965,137.7937195,1152.486978,179.1522708,2939.225183,12.2,523.9443327,72.0365092,5.312368555,55.95869726,38.2518611,9.02,46.97343764,2911.669491,44,20,935.5627244,6869.442875,9.7,39.90798,9.17,11,181.5
28.02.1922,38691.7784,136810.6014,132947.5428,60857.51754,91321.56189,175266.8868,56470.34127,190789.6832,139625.4528,90399.16644,58985.53636,42644.26318,138383.2828,179059.2949,309340.6671,64907.94426,97292.2586,321846.3085,142285.2557,137150.5828,341490.4626,20046.96048,3519.2263,7061.685796,250,0,2707.612,585.361,30013.386,2548.318,635.4167424,7060.1518,306.751,938.9373415,57.82,93.63593685,355.3653248,39.75941,293.9519949,103,1725.305509,288.2185336,4,0,0,3639.581192,18.3,27.59591576,484.3330721,1053.577167,148.59,62,575.001,13.19950325,30,37.07278984,216.5975556,10.2,30.1,72,408.6291128,147.6428619,413.4579506,2958.454719,141.2532708,1261.464363,204.6881089,2813,37.21218093,593.0277666,71.91044531,4.8,65.56,37,13.02,53.35723769,3250.926229,33.8,61.3274792,1230.132129,6850.584993,11.8,95.81855,8.85,21.228645,204.3477636
31.03.1922,38713.20975,136826.1996,132955.9547,60857.67333,91328.88769,175256.0653,56451.39938,190810.9739,139621.7457,90411.10448,58995.11148,42630.22489,138395.0171,179088.2492,309451.9764,64934.12434,97308.3638,322031.2662,142294.2785,137161.6269,341530.0906,20049.93488,3516.834,7068.922876,250,0,2742.33,554.648,30018.432,2560.498,655,7066.7278,301.6245,964.5465885,77.19,117,296.5086454,85.6669,323.7,103,1781.27487,326.9140039,4,0,0,3291.122572,18.3,27.48359926,453.0431197,1187.716368,151.21,64,680,11.5,46,36,267.7789967,10.2,30.1,78.10568435,496.0514365,173.1739677,295.7842784,2961.376896,145.318468,1355.794682,234.3507394,2922.001,60.21189188,571.6628464,71.58828652,4.8,65.56,46.03710097,22.29,63.90896346,3698.664514,44,59.99376849,1197.835431,6870.979023,9.7,105.0696,10.56,28.33311912,206.002
30.04.1922,38730.95615,136834.2876,133000.73,60905.37266,91415.25073,175231.9101,56451.88879,190827.9506,139636.3986,90441.16128,59022.29004,42582.98206,138312.1972,179115.3128,309503.6919,64960.22746,97337.0147,322101.8638,142292.4559,137173.8062,341550.451,20054.00252,3508.5289,7084.917596,250,0,2758.8845,543.773,30015.102,2561.64117,651.7329862,7075.2456,287.2835,968.0294643,116.8154014,129.4068716,378.0756383,123.4764,312.6675964,103,1899.999,357.1207977,4,0,0,2956.877191,18.3,27.25170339,422.3899249,1353.196681,146.2488434,65,739.9708479,11.5,66.36716125,36,315.2396089,10.2,30.1,87.00905205,578.6208841,78.5,123.7236565,2964.451002,164.7995197,1405.451428,280.2131115,3379.954161,139.4093922,497.8254046,71.20385742,82.83191549,65.56,55.09425618,11.6118117,59.98827507,4345.581491,39.78786134,74.93267703,1162.659081,6865.405759,9.7,114.72445,19.76261739,11,206.001
31.05.1922,38742.15925,136831.2061,133041.0861,60959.97324,91536.69956,175177.1526,56462.48767,190782.5438,139734.6151,90517.78843,59148.60456,42675.53043,138239.7284,179169.2141,309537.3875,64995.49216,97391.7899,322157.0775,142317.125,137186.5837,341580.5198,20061.00072,3502.3542,7071.433916,250,0,2771.1865,540.914,30006.934,2559.34817,632.2439862,7088.5642,266.259,956.7639522,125.5822659,133.829196,773.6984113,203.75648,216.6480591,103,1979.754953,339.9264309,234.5334746,0,0,2379.186899,18.3,26.83379017,389.9161354,1731.162209,147.7270075,66,975,12.69789972,85.29327469,36,358.1465691,10.2,152.5735266,96.22477188,814.8580247,78.5,169.8088696,2965.561729,161.2413946,1693.558996,376.2519987,3538,203,756.2303067,40.11520106,171.2,65.56,57.26753486,9.302853263,57.49875405,4552,33.8,75,965.644174,6890.621231,11.8,132.08086,0.57,11,206.002
30.06.1922,38744.45015,136807.5211,132928.1708,60859.26095,91519.0516,175102.1657,56447.55533,190704.0209,139743.5443,90457.6195,59122.12736,42695.80722,138135.7276,179152.6794,309578.0031,65033.1272,97451.8348,322067.3804,142331.279,137192.7037,341607.5657,20069.66696,3496.4183,7039.173316,250,0,2767.138403,550.5,29994.882,2563.39017,610.9619862,7088.406058,253.881,922.4195035,93.01528513,25.68542649,890,304.66411,78.49045704,95.34501106,2035.720947,299.2048945,431,0,0,1684.381224,18.3,26.32235431,358.2592567,1875.73896,146.28,66,975,41.53160609,4,277.4828649,340.1044326,10.2,301.3,104.8,1024,78.5,506.3514066,2964.406005,148.7280203,1845.845992,506.2637235,3538,210,935.29,10.38720931,171.2,65.56,50.83847978,0.557,50.12957543,4541.980689,33.8,75,721.9140505,6954.648764,11.8,153.8856,26.02631066,11,197.030788
31.07.1922,38742.32705,136769.8212,132961.777,60752.85495,91493.77064,175022.8214,56413.96829,190586.1779,139679.6137,90281.79156,59021.13248,42590.54686,137968.1029,179085.5706,309370.9074,65058.01626,97370.20042,321921.9314,142345.8503,137202.1465,341631.8153,20079.05984,3491.3334,7013.752436,250,0,2749.787403,566.43,29973.116,2569.86017,590.5439862,7080.265237,249.9245,861.7724303,62.69520342,25.5940396,803.0796269,419.18151,166.9251658,1,2002.677515,247.405402,296.2513948,0,0,921.0033492,22.475607,25.72743785,325.3296293,1780.239522,125.3890816,67,787.4045203,38.6543758,4,360,190.3716381,10.2,295.9451891,104.00352,914.8440002,78.5,495.2136862,2962.306187,132.5140967,1834.551927,577.9117235,3538,210,995.32,10.23160891,6.663221193,65.56,43.50013788,0.557,43.29962532,4124.312908,33.8,40.81661172,340.5846519,7018.505777,9.7,177.15836,0.57,11,207.6549035
