region,Shortage_%,xwater,xwatersc,lambdawater,xwater_TAF,xwatersc_TAF,Ratio,penalty,hu,month,xwater_monthly_TAF,xwatersc_monthly_TAF,water_type,month_name
1.0,0.5,66666.469989326,33333.2350945519,231.8061729625,66.6664699893,33.3332350946,0.5000000015,510.46424612745267,hu101,1,4.585132143991207,2.2925660788698834,SW,October
1.0,0.5,66666.469989326,33333.2350945519,231.8061729625,66.6664699893,33.3332350946,0.5000000015,179.35230269342932,hu101,1,1.6109923749158295,0.8054961898732023,GW,October
1.0,0.5,66666.469989326,33333.2350945519,231.8061729625,66.6664699893,33.3332350946,0.5000000015,58.59633730381354,hu101,2,0.5263286346303372,0.2631643181042692,SW,November
1.0,0.5,66666.469989326,33333.2350945519,231.8061729625,66.6664699893,33.3332350946,0.5000000015,20.587902295934487,hu101,2,0.18492627703228065,0.09246313879339188,GW,November
1.0,0.5,66666.469989326,33333.2350945519,231.8061729625,66.6664699893,33.3332350946,0.5000000015,23.66390544961701,hu101,3,0.2125557947545593,0.10627789769595486,SW,December
1.0,0.5,66666.469989326,33333.2350945519,231.8061729625,66.6664699893,33.3332350946,0.5000000015,8.314345157973545,hu101,3,0.07468176572457488,0.03734088297425441,GW,December
1.0,0.5,66666.469989326,33333.2350945519,231.8061729625,66.6664699893,33.3332350946,0.5000000015,6.761115842747718,hu101,4,0.06073022707273123,0.03036511362741567,SW,January
1.0,0.5,66666.469989326,33333.2350945519,231.8061729625,66.6664699893,33.3332350946,0.5000000015,2.3755271879924416,hu101,4,0.02133764734987854,0.010668823706929832,GW,January
1.0,0.5,66666.469989326,33333.2350945519,231.8061729625,66.6664699893,33.3332350946,0.5000000015,0.0,hu101,5,0.0,0.0,SW,February
1.0,0.5,66666.469989326,33333.2350945519,231.8061729625,66.6664699893,33.3332350946,0.5000000015,0.0,hu101,5,0.0,0.0,GW,February
1.0,0.5,66666.469989326,33333.2350945519,231.8061729625,66.6664699893,33.3332350946,0.5000000015,29.29816865190677,hu101,6,0.2631643173151686,0.1315821590521346,SW,March
1.0,0.5,66666.469989326,33333.2350945519,231.8061729625,66.6664699893,33.3332350946,0.5000000015,10.293951147967244,hu101,6,0.09246313851614033,0.04623156939669594,GW,March
1.0,0.5,66666.469989326,33333.2350945519,231.8061729625,66.6664699893,33.3332350946,0.5000000015,467.6438457900505,hu101,7,4.200507372530577,2.1002536925629176,SW,April
1.0,0.5,66666.469989326,33333.2350945519,231.8061729625,66.6664699893,33.3332350946,0.5000000015,164.3072971694772,hu101,7,1.4758539416999323,0.7379269730626468,GW,April
1.0,0.5,66666.469989326,33333.2350945519,231.8061729625,66.6664699893,33.3332350946,0.5000000015,789.9237009610249,hu101,8,7.095314862997431,3.5476574421363978,SW,May
1.0,0.5,66666.469989326,33333.2350945519,231.8061729625,66.6664699893,33.3332350946,0.5000000015,277.54075979711683,hu101,8,2.492948465377476,1.246474236426302,GW,May
1.0,0.5,66666.469989326,33333.2350945519,231.8061729625,66.6664699893,33.3332350946,0.5000000015,886.8330280404089,hu101,9,7.965781451039911,3.982890737462689,SW,June
1.0,0.5,66666.469989326,33333.2350945519,231.8061729625,66.6664699893,33.3332350946,0.5000000015,311.5899828250085,hu101,9,2.7987880773924014,1.3993940428922962,GW,June
1.0,0.5,66666.469989326,33333.2350945519,231.8061729625,66.6664699893,33.3332350946,0.5000000015,975.8543866365873,hu101,10,8.76539610749754,4.382698066890329,SW,July
1.0,0.5,66666.469989326,33333.2350945519,231.8061729625,66.6664699893,33.3332350946,0.5000000015,342.86775746690904,hu101,10,3.079733767499136,1.5398668883668725,GW,July
1.0,0.5,66666.469989326,33333.2350945519,231.8061729625,66.6664699893,33.3332350946,0.5000000015,927.3997230968954,hu101,11,8.3301628134763,4.1650814192271834,SW,August
1.0,0.5,66666.469989326,33333.2350945519,231.8061729625,66.6664699893,33.3332350946,0.5000000015,325.84314595296325,hu101,11,2.926813961491673,1.4634069851338751,GW,August
1.0,0.5,66666.469989326,33333.2350945519,231.8061729625,66.6664699893,33.3332350946,0.5000000015,815.8413116915578,hu101,12,7.328114066776235,3.6640570443748244,SW,September
1.0,0.5,66666.469989326,33333.2350945519,231.8061729625,66.6664699893,33.3332350946,0.5000000015,286.6469473510879,hu101,12,2.574742780218677,1.2873713939695328,GW,September
1.0,0.55,66666.469989326,36666.5585940182,231.7904298922,66.6664699893,36.666558594,0.5500000015,457.3229539886335,hu101,1,4.585132143991207,2.5218226860649735,SW,October
