date,hsur101-r_srw,hsur201-r_gld,hsur202-r_sut,hsur301-r_sje,hsur302-r_sjw,hsur303-r_mdt,hsur401-r_ker,hsur402-r_pix,u102-ext_cvpm02,u102-int_cvpm02,u103-ext_cvpm03,u103-int_cvpm03,u104-ext_cvpm04,u104-int_cvpm04,u206-ext_cvpm09,u206-int_cvpm09,u202-ext_cvpm05,u202-int_cvpm05,hxi203-ext_cvpm06,u203-int_cvpm06,u404-ext_cvpm15,hxi402-ext_cvpm14,u402-int_cvpm14,u408-ext_cvpm19,u404-int_cvpm15,u408-int_cvpm19,u409-ext_cvpm21,u409-int_cvpm21,u303-ext_cvpm10,u303-int_cvpm10,hu500-ags_owens,d30-n203,d61-d61b,d43-c306,c7-c20,c73-d859,d66a-n203,d511-d513,d541-req_delta
31.10.1921,20.7852826,6.070421702,1.97291842,6.265582771,22.1488698,2.290471776,4.3,0.95,2.44,8.74,0.21,2.15,0.29,1.82,3.06,7.14,1.83,3.96,2.89,4.94,1.79,0.62,1.5,1.01,4.32,2.43,1.04,2.5,2.4,5.5,2.88,0,0,0,0,0,0,324.681159,245.9490299
30.11.1921,14.81466961,3.652455382,0.356737378,1.860467676,14.26776568,1.901927015,3.8,0.7,1.35,8.74,0,2.15,0,1.82,1.82,7.14,1.38,3.96,1.72,4.94,0.72,0.25,1.5,0.27,4.32,2.43,0.28,2.5,1.46,5.5,0,0,0,0,0,0,0,286.9735749,267.7671053
31.12.1921,5.362455481,2.101123647,0.162288015,0.815142884,8.21847375,0.70716299,3,0.7,0,8.74,0,2.15,0,1.82,0,7.14,0,3.96,0,4.94,0,0,1.5,0,4.32,2.43,0,2.5,0,5.5,0,0,0,0,0,0,0,252.0157212,276.6926587
31.01.1922,2.910620129,2.59363259,0.219776572,1.03209742,11.60309233,0.597350752,1,0.25,0.96,8.74,0,2.15,0,1.82,1.71,7.14,1.34,3.96,1.54,4.94,0.67,0.23,1.5,0.31,4.32,2.43,0.31,2.5,1.37,5.5,0,0,0,0,0,0,0,190.4960154,368.9235449
28.02.1922,1.485506183,0.016516893,0,0.842402228,14.66650031,0.559332773,0.7,0.25,1.73,8.74,0.05,2.15,0.17,1.82,2.44,7.14,1.65,3.96,1.79,4.94,1.04,0.36,1.5,0.75,4.32,2.43,0.77,2.5,1.93,5.5,0,0,0,0,0,0,0,239.6116515,529.3358979
31.03.1922,1.482506374,0.368589485,0.036763129,1.468823991,17.37396524,0.845887848,0.6,0,5.32,8.74,1.22,2.15,1.09,1.82,5.62,7.14,2.94,3.96,3.35,4.94,3.55,1.23,1.5,2.04,4.32,2.43,2.1,2.5,4.35,5.5,0.22,6.11004E-14,0,0,0,0,0,257.4341585,756.6899213
30.04.1922,3.476050812,2.18617346,0.277764517,1.65504971,24.1144241,2.972096109,0.4,0.4,10.9,8.74,3.26,2.15,2.7,1.82,9.81,7.14,5.19,3.96,5.85,4.94,6.2,2.15,1.5,3.43,4.32,2.43,3.53,2.5,7.53,5.5,9.33,0,0,0,0,0,0,230.8696297,406.3613656
31.05.1922,2.885335061,2.90227138,0.514342418,1.71629955,32.47664905,4.530643237,1.9,0.65,17.22,8.74,5.05,2.15,4.11,1.82,12.79,7.14,7.16,3.96,8.48,4.94,8.42,2.92,1.5,4.89,4.32,2.43,5.03,2.5,9.8,5.5,15.84,0,0,0,0,0,0,456.8065882,445.0388238
30.06.1922,14.84813075,2.740404912,1.102447664,1.988630139,27.04728687,2.331144706,1.5,0.35,22.14,8.74,5.84,2.15,4.73,1.82,15.13,7.14,8.03,3.96,9.78,4.94,9.69,3.36,1.5,5.52,4.32,2.43,5.67,2.5,11.58,5.5,19.3,0,0,0,0,0,0,334.9836262,711.3183763
31.07.1922,14.38862704,2.761223989,2.296724814,2.192987424,11.35428744,2.411215802,1.5,0.35,20.95,8.74,5.65,2.15,4.58,1.82,14.41,7.14,7.82,3.96,9.62,4.94,8.93,3.1,1.5,4.98,4.32,2.43,5.12,2.5,11.03,5.5,27.91,0,0,0,0,0,0,444.1613679,491.8980598
31.08.1922,19.44492837,2.864532797,1.575037254,1.729258815,13.49275738,5.314517152,2.5,0.6,14.16,8.74,3.66,2.15,3.01,1.82,11.04,7.14,5.62,3.96,7.66,4.94,6.82,2.36,1.5,3.7,4.32,2.43,3.8,2.5,8.47,5.5,34.41,0,0,0,0,0,0,443.4738018,245.9490299
30.09.1922,20.37321641,7.626511366,2.273852401,1.534069047,47.0914431,3.132095304,3.8,0.8,7.13,8.74,1.56,2.15,1.35,1.82,6.41,7.14,3.31,3.96,5.25,4.94,3.82,1.32,1.5,2.15,4.32,2.43,2.21,2.5,4.95,5.5,15.58,0,0,0,0,0,0,347.6971932,799.5823282
31.10.1922,18.48955632,5.187906319,1.947309282,5.604506135,22.1488698,2.290471776,4.3,0.95,2.44,8.74,0.21,2.15,0.29,1.82,3.06,7.14,1.83,3.96,2.89,4.94,1.79,0.62,1.5,1.01,4.32,2.43,1.04,2.5,2.4,5.5,2.88,0,0,0,0,0,0,330.9333632,374.6879753
30.11.1922,13.08828661,3.116925543,0.339095847,1.210571643,14.26776568,1.901927015,3.8,0.7,1.35,8.74,0,2.15,0,1.82,1.82,7.14,1.38,3.96,1.72,4.94,0.72,0.25,1.5,0.27,4.32,2.43,0.28,2.5,1.46,5.5,0,0,0,0,0,0,0,302.0250634,660.1202942
31.12.1922,4.551409263,1.645245306,0.091601114,0.716976709,8.21847375,0.70716299,3,0.7,0,8.74,0,2.15,0,1.82,0,7.14,0,3.96,0,4.94,0,0,1.5,0,4.32,2.43,0,2.5,0,5.5,0,0,0,0,0,0,0,302.971306,276.6926587
31.01.1923,2.627007072,2.440136605,0.200539552,1.00618606,11.60309233,0.597350752,1,0.25,0.96,8.74,0,2.15,0,1.82,1.71,7.14,1.34,3.96,1.54,4.94,0.67,0.23,1.5,0.31,4.32,2.43,0.31,2.5,1.37,5.5,0,0,0,0,0,0,0,291.0228808,368.9235449
28.02.1923,3.19105194,0.030781079,0,1.495752929,14.66650031,0.559332773,0.7,0.25,1.73,8.74,0.05,2.15,0.17,1.82,2.44,7.14,1.65,3.96,1.79,4.94,1.04,0.36,1.5,0.75,4.32,2.43,0.77,2.5,1.93,5.5,0,1.05463E-14,0,0,0,0,0,191.886751,844.4581036
31.03.1923,1.732884614,0.60604542,0.059891975,2.705938682,20.76640452,0.954592462,0.6,0,5.32,8.74,1.22,2.15,1.09,1.82,5.62,7.14,2.94,3.96,3.35,4.94,3.55,1.23,1.5,2.04,4.32,2.43,2.1,2.5,4.35,5.5,0.22,0,0,0,0,0,0,171.3024912,573.0463598
30.04.1923,2.862675589,2.504925955,0.286128008,0.765014563,18.79554806,2.591416246,0.4,0.4,10.9,8.74,3.26,2.15,2.7,1.82,9.81,7.14,5.19,3.96,5.85,4.94,6.2,2.15,1.5,3.43,4.32,2.43,3.53,2.5,7.53,5.5,9.33,0,0,0,0,0,0,215.3124656,428.8240505
31.05.1923,12.01315118,2.942024195,0.497307329,1.772883644,32.5179693,4.55778658,1.9,0.65,17.22,8.74,5.05,2.15,4.11,1.82,12.79,7.14,7.16,3.96,8.48,4.94,8.42,2.92,1.5,4.89,4.32,2.43,5.03,2.5,9.8,5.5,15.84,0,0,0,0,0,0,196.2497866,476.2287086
30.06.1923,13.93211346,2.38089993,1.025059349,1.78156261,24.45728676,2.135618249,1.5,0.35,22.14,8.74,5.84,2.15,4.73,1.82,15.13,7.14,8.03,3.96,9.78,4.94,9.69,3.36,1.5,5.52,4.32,2.43,5.67,2.5,11.58,5.5,19.3,0,0,0,0,0,0,299.6320843,385.5846316
31.07.1923,14.13802657,2.691911472,2.24916243,2.042874686,10.80688005,2.363121093,1.5,0.35,20.95,8.74,5.65,2.15,4.58,1.82,14.41,7.14,7.82,3.96,9.62,4.94,8.93,3.1,1.5,4.98,4.32,2.43,5.12,2.5,11.03,5.5,27.91,0,0,0,0,0,0,450.3573847,399.6671736
31.08.1923,19.38041816,2.873589988,1.59118852,1.662067244,13.34427056,5.391436295,2.5,0.6,14.16,8.74,3.66,2.15,3.01,1.82,11.04,7.14,5.62,3.96,7.66,4.94,6.82,2.36,1.5,3.7,4.32,2.43,3.8,2.5,8.47,5.5,34.41,0,0,0,0,0,0,383.1995779,245.9490299
30.09.1923,18.01740287,6.795810601,2.299967617,1.1883249,42.46097275,2.910300752,3.8,0.8,7.13,8.74,1.56,2.15,1.35,1.82,6.41,7.14,3.31,3.96,5.25,4.94,3.82,1.32,1.5,2.15,4.32,2.43,2.21,2.5,4.95,5.5,15.58,0,0,0,0,0,0,391.2727518,178.5114035
31.10.1923,19.17490205,5.961246588,1.941434628,5.592428321,22.56606938,2.448229133,4,0.95,2.44,8.74,0.21,2.15,0.29,1.82,3.06,7.14,1.83,3.96,2.89,4.94,1.79,0.62,1.5,1.01,4.32,2.43,1.04,2.5,2.4,5.5,2.88,0,0,0,0,0,0,335.8811552,245.9490299
30.11.1923,15.64919751,4.076934824,0.387630937,1.884596896,16.28194497,2.137296706,3.35,0.7,1.35,8.74,0,2.15,0,1.82,1.82,7.14,1.38,3.96,1.72,4.94,0.72,0.25,1.5,0.27,4.32,2.43,0.28,2.5,1.46,5.5,0,0,0,0,0,0,0,237.4750682,267.7671053
31.12.1923,7.957356825,3.197601859,0.265333984,1.394481724,13.00598777,0.902703573,2.55,0.7,0,8.74,0,2.15,0,1.82,0,7.14,0,3.96,0,4.94,0,0,1.5,0,4.32,2.43,0,2.5,0,5.5,0,0,0,0,0,0,0,205.3558337,276.6926587
31.01.1924,2.717418902,2.849552578,0.220616655,1.143631181,13.31167936,0.634328672,1,0.125,0.96,8.74,0,2.15,0,1.82,1.71,7.14,1.34,3.96,1.54,4.94,0.67,0.23,1.5,0.31,4.32,2.43,0.31,2.5,1.37,5.5,0,0,0,0,0,0,0,177.069066,368.9235449
29.02.1924,2.713384153,0.027322602,0,1.413172754,14.37623744,0.547463273,0.7,0.1,1.73,8.74,0.05,2.15,0.17,1.82,2.44,7.14,1.65,3.96,1.79,4.94,1.04,0.36,1.5,0.75,4.32,2.43,0.77,2.5,1.93,5.5,0,0,0,0,0,0,0,187.9309479,435.4857553
31.03.1924,1.779191065,0.48234792,0.049235053,2.472700491,12.92593381,0.609728443,0.6,0,5.32,8.74,1.22,2.15,1.09,1.82,5.62,7.14,2.94,3.96,3.35,4.94,3.55,1.23,1.5,2.04,4.32,2.43,2.1,2.5,4.35,5.5,0.22,0,0,0,0,0,0,169.022378,561.3191411
30.04.1924,12.17472439,2.633530423,0.301010255,1.93318566,19.19167842,2.250102832,0.4,0.38,10.9,8.74,3.26,2.15,2.7,1.82,9.81,7.14,5.19,3.96,5.85,4.94,6.2,2.15,1.5,3.43,4.32,2.43,3.53,2.5,7.53,5.5,9.33,0,0,0,0,0,0,125.0159694,334.7088816
31.05.1924,12.09269602,3.226608996,0.522502103,2.181001402,26.87172185,3.60913872,1.425,0.65,17.22,8.74,5.05,2.15,4.11,1.82,12.79,7.14,7.16,3.96,8.48,4.94,8.42,2.92,1.5,4.89,4.32,2.43,5.03,2.5,9.8,5.5,15.84,0,0,0,0,0,0,117.7758872,245.9490299
30.06.1924,14.28845776,2.725179194,1.130615575,2.123273208,20.0191219,1.743212848,1.2875,0.35,22.14,8.74,5.84,2.15,4.73,1.82,15.13,7.14,8.03,3.96,9.78,4.94,9.69,3.36,1.5,5.52,4.32,2.43,5.67,2.5,11.58,5.5,19.3,0,0,0,0,0,0,208.5624517,238.0152047
