date,inflow-c5,c5-sink,inflow-c304,inflow-d66,d66-sink,inflow-n14,n14-sink,c301-sink,inflow-c35,c35-sink,inflow-c40,inflow-d9,inflow-d64,inflow-c308,inflow-c32,c32-sink,inflow-c7,d517-sink,inflow-d517,c150-sink,c155-sink,inflow-d509,d509-sink,d848-sink,inflow-n1,inflow-c154,inflow-c161,inflow-n8,inflow-hxcmwd,inflow-hxewmwd,inflow-hxsd,inflow-d73,d73-sink,inflow-n13,n13-sink,inflow-d31,d31-sink,d85-sink,inflow-d85,inflow-d37,d37-sink,c83-sink,inflow-c51,inflow-c89,c56-sink,c58-sink,inflow-c65,c97-sink,c52-sink,inflow-c52,c53-sink,inflow-c57,inflow-c54,c54-sink,c49-sink,c76-sink,c688-sink,c62-sink,c64-sink,c689-sink,d861-sink,d853-sink,d751-sink,d870-sink,d872-sink,c131-sink,d885-sink,d886-sink,d887-sink,inflow-d889,inflow-wtp205,inflow-n7,inflow-c106,inflow-wtp503,inflow-sr_tul,inflow-d616,inflow-d612,inflow-d692,inflow-d691,inflow-d653b,d653b-sink,inflow-d663,d664-sink,inflow-d642,d643-sink,inflow-d646,d647-sink,d897-sink,d703-sink,d804-sink,d743-sink,d744a-sink,d745-sink,d749-sink,inflow-d98,inflow-d606,c20-sink,d699-sink,d605-sink,inflow-sr_cfw,inflow-n202,n202-sink,inflow-n201,n201-sink
31.10.1921,4.113412212,0,0,2.338812463,0,20.08994285,0,3.713087146,18.06380672,0,0,0,0,1.470000029,0,2.645061009,3.430308447,3.928143104,0,8.917854511,12.65919988,0,0,0.55999685,3.28,0.56,7.72,3.16,25.23,12.89,8.96,3.67305207,0,4.526967247,0,0.036978152,0,5.795465101,0,0,1.910705637,0.88,0,0.13,1.13,0,0,26.35,2.22,0,32.9,0.00,0.590811946,0,0.939994713,1.964988948,0.4799973,0.899994938,0.234998678,0.4799973,0.282517483,0.933877223,0.448561515,0.400233104,0.313908302,0.109867909,0.149106439,0.243278938,0.188344984,0.55999685,0.91,0.61,3.24,4.69,0,0,0,0.049999999,1.799989829,0,30.58773322,0,7.526328473,0.504223117,0,0,3.545859844,0.047086246,0.702996055,0.604273497,0.942551885,0.587838249,1.449854177,0.569169814,0,0,0,0,0,0,0,0.045925838,0,21.21380186
30.11.1921,4.81128909,0,0,0,2.926386609,5.405602149,0,2.317086572,15.10802974,0,0,0,0,2.130000114,0,1.79311861,4.426089641,8.413024348,0,1.150386596,3.597661599,0,0,0.559996884,2.58,0.43,7.1,2.9,21.13,10.56,7.44,1.694615654,0,3.718128741,0,0.47536656,0,5.849257104,0,0,2.134029306,0,0,0.13,0.81,0.8,0,32.38,0.94,0,31.14,0.00,0.919010527,0,0.751995816,1.571991254,0.383997864,0.719995994,0.187998954,0.383997864,0.21766762,0.719512453,0.326239887,0.308362467,0.24185292,0.084648518,0.114880131,0.187436015,0.145111752,0.559996884,0.72,0.44,2.62,3.65,0.01,0,0,1.319999961,1.799989938,3.19956159,0,0,0.688418763,0,1.848061259,0,5.257603995,0.036277938,0.499497227,0.465566876,0.720502488,0.429902889,1.048502051,0.410054004,0,0,0,0,0,0,0,0.045939365,0,13.17074394
31.12.1921,3.261685554,0,0,0,8.399759798,0,8.247218536,22.69228833,17.53719942,0,4.150000095,0,0,6.769999981,0,5.52972669,28.11064986,0,8.049691703,0.838672399,3.190279424,0.75999999,0,0.55999685,2.24,0.5,7.01,2.52,19.92,9.87,6.81,0,2.375003147,0,6.377429761,0,8.94366795,5.81231627,0,0,2.403676289,0,11.44,0.13,7.97,0,0,27.79,6.21,0,19.5,0.00,1.276517553,0,0.187998943,0.39299779,0.09599946,0.179998988,0.046999736,0.09599946,0.160095849,0.529205684,0.313731508,0.226802444,0.177884264,0.062259495,0.084495025,0.137860313,0.106730561,0.55999685,0.64,0.33,2.43,3.38,1.940000057,0.439999998,0.379999995,14.23999995,7.999955006,0,0.680859848,0,0.172292516,0,5.919272052,0,6.243569463,0.02668264,0.52796347,0.342427205,0.551633943,0.403864273,1.032447969,0.410097341,0,0,0,0,0,1.56,9.21,0.040044955,1.91,19.1170187
31.01.1922,5.45441241,0,19.27588624,0,0.771647828,6.803278302,0,0,14.52874383,0,4.730000019,0,0,5.920000076,0.052285896,0,12.24353628,0,1.916361044,0.546786217,2.937597485,1.059999943,0,0.075187671,1.98,0.51,8.36,3.42,20.28,10.26,7.8,0,0.568768268,0,2.895731911,0,3.140679341,5.566152153,0,0,2.178944748,0,22.89,0.13,7.87,0,0,27.01,0,44.98,19.5,0.00,2.20173921,0,0.187998943,0.39299779,0.09599946,0.179998988,0.046999736,0.09599946,0.15068567,0.498099834,0.380315825,0.213471359,0.16742852,0.058599981,0.07952854,0.129757092,0.100457111,0.075187671,0.61,0.3,2.16,2.73,2.119999886,0.600000024,0.709999979,19.14999992,1.799989829,0,1.966245518,5.349578281,0,0,2.193464012,0,4.870848215,0.025114278,0.68198494,0.322299903,0.544217118,0.481155439,1.272850701,0.511029174,0,0,0,0,0,0.71,4.16,0.03243685,0.86,21.35748959
28.02.1922,1.975714782,0,0,0,16.71538629,0,8.202350203,0.902022554,20.01215914,0,42.36000061,0,0,16.51000023,0,2.023046783,26.32518722,0,20.0220185,0,2.749033159,12.32999992,0,0.09669697,2.02,0.44,6.97,2.85,21.58,11.03,7.14,0,4.036113293,0,7.479104715,0,14.11441521,6.386652372,0,0,7.631468685,0,21.59,0.13,8.49,0,12.47,18.23,0,68.9,19.5,0.00,2.388894172,0,0.375997908,0.785995627,0.191998932,0.359997997,0.093999477,0.191998932,0.164477223,0.54368861,0.537382586,0.233009398,0.182752472,0.063963363,0.086807424,0.141633155,0.109651484,0.09669697,0.62,0.33,2.34,2.87,15.38000011,3.150000095,3.539999962,48.9100008,1.799989938,3.628475719,0,14.70605264,0,0.834725008,0,0,4.248009189,0.027412871,1.010495167,0.351798514,0.629985091,0.670464876,1.822286734,0.737592792,0,0,0,0,0,9.93,58.46,0.11295081,12.1,20.93749714
31.03.1922,4.642029489,0,27.33208885,0,0.125774911,6.019488373,0,0,20.67061116,0,12.42000008,0,0,10.93999958,6.288040065,0,3.044314162,0,0.647221978,0,3.35967239,3.940000057,0,0.817900934,2.14,0.61,8.23,3.36,21.26,10.83,8.5,0,0.791337493,0,2.549439358,0,5.472017656,6.467143825,0,0,7.012554469,0,0,0.13,11.29,0,55.03,18.23,0,35.37,26.45,0.00,0,1.433203407,0.563996828,1.178993369,0.28799838,0.539996963,0.140999207,0.28799838,0.187902198,0.621121132,0.55834252,0.266194784,0.208780217,0.07307308,0.099170604,0.161804675,0.125268127,0.817900934,0.67,0.42,2.29,2.61,5.920000076,1.769999981,1.580000043,25.22000015,1.799989829,0,39.2412474,17.90790339,0,3.84301037,0,0,4.399396162,0.031317032,1.033454447,0.401901935,0.703362637,0.699917433,1.885019027,0.760914107,0,0,0,0,0,5.73,33.74,0.107720447,6.98,22.72729063
30.04.1922,4.805524329,0,23.09179201,0,8.376144069,7.411078653,0,0,29.03196102,0,6.769999981,0,0,11.10000038,0,17.23962958,3.234887307,6.294053346,0,30.55136501,25.25429438,2.450000048,0,0.701146755,2.93,0.8,10.18,4.16,25.81,13.55,10.04,0,0.065941705,0,5.573979487,0.936381985,0,5.658567089,0,0,5.016116086,0.88,0,0.13,15.28,5.92,0,48.28,2.18,0,42.4,0.00,0,0.08122376,0.751995816,1.571991254,0.383997864,0.719995994,0.187998954,0.383997864,0.250642336,0.828512112,0.749045556,0.355076632,0.278491468,0.097472014,0.132283443,0.215830884,0.167094881,0.701146755,0.84,0.55,2.92,3.57,4.090000153,1.00999999,0.779999971,10.74000016,1.799989938,0,14.33630349,0,47.29400436,2.294411482,0,0,3.876534103,0.04177372,1.387824324,0.536096094,0.939470831,0.938696496,2.529556804,1.021266515,0,0,0,0,0,0.76,4.5,0.078412743,0.93,29.77701044
31.05.1922,2.169094625,0,0,0,14.75606473,0,5.837285016,2.32543993,40.17017558,0,0.330000013,0,0,10.44999981,0,129.1547004,6.924812597,8.491150783,0,37.28696342,28.03476893,0.49000001,0,0.859188872,3.54,1.08,11.49,4.7,28.33,15.09,12.01,0,5.104677392,0,9.591715502,0,2.219351247,9.049484501,0,0,4.092125559,0.88,0,0.13,67.26,13.22,0,76.22,13.24,0,73.8,0.00,0.628593369,0,0.939994713,1.964988948,0.4799973,0.899994938,0.234998678,0.4799973,0.372494659,1.231301773,1.100547919,0.527700735,0.413882938,0.144859036,0.196594399,0.320759281,0.248329763,0.859188872,1.1,0.72,3.28,4.07,1.289999962,0.379999995,0.159999996,4.080000013,1.799989829,0,3.629338667,37.06238759,0,0,16.59972377,0,11.72453406,0.062082441,2.03498864,0.796724666,1.392482466,1.380017625,3.714517355,1.499157148,0,0,0,0,0,0,0,0.075338487,0,34.49942207
30.06.1922,4.510454413,0,15.58392736,0,8.628535691,4.811500325,0,0,50.30457486,0,0,0,0,1.720000029,36.03599886,0,3.551112201,13.83469323,0,44.53740251,35.6442494,0.029999999,0,0.366660241,4.57,1.26,12.58,5.14,32.05,17.33,12.96,0,0.987110585,0,0.838328991,6.12923367,0,8.747252705,0,0,3.783300817,2.65,0,0.13,39.32,5.87,0,47.77,0.82,0,61.58,0.00,4.399894724,0,1.127993724,2.357986881,0.575996795,1.079993991,0.281998431,0.575996795,0.451253318,1.491642878,1.611549188,0.639275511,0.501392555,0.175487391,0.238161461,0.388579233,0.300835545,0.366660241,1.26,0.95,3.8,5.03,0.340000004,0.109999999,0.01,0.590000007,1.799989938,11.35027887,0,0,105.6043546,0,24.87906041,0,14.45138373,0.075208886,3.070983013,0.96518069,1.768757665,2.00249583,5.48543009,2.225406276,0,0,0,0,0,0,0,0.066048795,0,34.43685913
31.07.1922,6.517045265,0,10.2695526,0,11.39594647,0,0.480181974,0,49.04072129,0,0,0,0,0.449999988,22.70762924,0,3.741119762,16.14776494,0,49.567965,39.97543876,0,0,0,4.96,1.5,13.7,5.6,32.64,17.61,14.04,0,0.631022799,0.059368838,0,5.280440697,0,4.447876142,0,0,2.282266961,3.53,0,0.13,12.33,0,0,39.76,0,8.08,25.75,0.00,2.451475252,0,1.315992598,2.750984528,0.671996221,1.259992913,0.32899815,0.671996221,0.519909617,1.71859025,1.846061874,0.736538678,0.577677398,0.202187086,0.274396754,0.447699949,0.346606421,0,1.33,0.96,3.86,5.26,0.059999999,0.039999999,0,1.860000035,1.799989829,23.23062433,0,79.64332715,0,0,3.493485704,0,3.541141823,0.086651605,3.514980336,1.112028901,2.034726233,2.294479549,6.282203151,2.548289853,0,0,0,0,0,0,0,0.053487537,0,37.31917381
31.08.1922,7.513970173,0,7.672851941,0,8.800319807,2.749228453,0,0,31.91867061,0,0,0,0,0.180000007,0,8.796969161,4.331144331,10.71522504,0,31.83453407,31.48511205,0,0,0,4.73,1.41,13.93,5.7,33.82,18.28,13.97,0.79436381,0,2.057578921,0,6.011020004,0,5.210865109,0,0,2.25728961,1.76,0,0.13,4.72,0.34,0,29.14,0,2.18,37.32,0.00,1.835960436,0,1.315992598,2.750984528,0.671996221,1.259992913,0.32899815,0.671996221,0.429056198,1.418269048,1.534488929,0.607829609,0.476729096,0.166855187,0.226446324,0.369465061,0.286037475,0,1.27,0.95,4.01,5.73,0,0,0,0.059999999,1.799989829,9.321108453,0,39.16999115,0,0,4.071794454,0,2.518636607,0.071509369,2.924735309,0.917703534,1.682403162,1.906621283,5.223434426,2.119191157,0,0,0,0,0,0,0,0.050385874,0,37.23917389
30.09.1922,8.210728958,0,0,0,8.122240962,5.909488873,0,6.794269773,21.84481298,0,0,0,0,0.150000006,0,17.76079634,7.939120123,6.329160286,0,16.82563841,20.01889712,0,0,0,4.03,1.24,12.98,5.31,30.82,16.51,12.58,2.483203948,0,3.868052809,0,7.022922762,0,4.134467024,0,0,2.320372965,0.88,0,0.13,2.28,0.19,0,32.97,0,2.48,30.05,0.00,1.610566994,0,1.127993724,2.357986881,0.575996795,1.079993991,0.281998431,0.575996795,0.413277711,1.36611238,0.693676129,0.585476717,0.45919744,0.160719111,0.21811878,0.355878012,0.275518464,0,1.09,0.82,3.6,5.16,0,0,0,0.02,1.799989938,2.425293659,0,14.77096889,0,3.254487466,0,1.580558596,0,0.068879616,1.109993839,0.883955091,1.389832304,0.904474978,2.253707447,0.887755059,0,0,0,0,0,0.19,1.12,0.046083372,0.23,35.34694195
31.10.1922,7.591174796,0,9.343788625,0,4.585775109,0,1.052735499,0,33.67554111,0,0,0,0,1.25999999,5.435162433,0,3.247925327,3.330071317,0,4.115627686,9.065174163,0.01,0,0.306462273,3.28,1,11.77,4.81,28.06,14.92,11.32,1.608956553,0,2.338864214,0,1.821311939,0,4.113923396,0,0,1.858079438,0,0,0.13,2.59,0,0,26.96,0,3.88,29.3,0.00,2.006375016,0,0.939994713,1.964988948,0.4799973,0.899994938,0.234998678,0.4799973,0.282517483,0.933877223,0.448561515,0.400233104,0.313908302,0.109867909,0.149106439,0.243278938,0.188344984,0.306462273,0.91,0.61,3.24,4.69,0.029999999,0,0,0.1,1.799989829,0,17.72867882,0,0.475996517,1.70958226,0,0.122444816,0,0.047086246,0.702996055,0.604273497,0.942551885,0.587838249,1.449854177,0.569169814,0,0,0,0,0,0.39,2.31,0.042749733,0.48,21.21380186
