date,d64-c8,d9-d85,sr_whi-d73,d94-sink,d5-d73,d77-d75,d61-c301,d503-d511,d507-d509,sr_blb-c9,c9-c12,c23-c25,d42-d43,c25-c31,d672-d675,d645-d646,d649-d695,d624-c48,sr_eng-c28,c83-c31,c41-c42,sr_dnp-d662,c37-c38,sr_gnt-sr_ml,d616-c42,c35-sr_rll_cmb,n201-n202,sr_cfw-c33,c33-c308,d609-d608,d675-d676,d662-d663,sr_cmn-c38,sr_cle,sr_sha,sr_fol
31.10.1921,30.74362874,92.23088622,12.2974515,22.93474704,245.9490299,199.8335868,245.9490299,257.0160514,2.459490299,1.844617724,0,49.18980598,104.5283377,104.5283377,47.60315816,3.074362874,15.62409725,0,43.04108024,30.74362874,0,0,0,6.3,147.4263659,0.430410802,0.338179916,0,0.614872575,0,0,24.41044122,13.52719665,1100,2000,350
30.11.1921,29.75190058,119.0076023,11.90076023,17.85114035,238.0152047,193.3873538,267.7671053,481.3314877,267.7671053,1.785114035,0,47.60304093,101.156462,101.156462,11.90038393,2.975190058,5.950380117,0,41.65266082,29.75190058,3.7698653,0,0.699996094,6.1,130.7268978,0.416526608,0.327270906,0,0.595038012,0,0,17.85114035,13.09083626,1100,2000,350
31.12.1921,30.74362874,122.974515,12.2974515,18.44617724,199.8335868,199.8335868,245.9490299,96.96352733,276.6926587,1.844617724,0,49.18980598,104.5283377,104.5283377,12.29589026,3.074362874,6.148725748,0,43.04108024,30.74362874,14.06830993,0,13.89992144,6.3,175.3026805,0.430410802,0.338179916,0,0.614872575,0,0,18.44617724,13.52719665,1100,2000,350
31.01.1922,15.37181437,107.6027006,12.2974515,18.44617724,199.8335868,199.8335868,245.9490299,0,0,1.844617724,0,49.18980598,104.5283377,104.5283377,13.88382274,3.074362874,4.611544311,0,43.04108024,30.74362874,7.896440385,0,17.89989894,6.3,166.9013079,0.430410802,0.338179916,0,0.614872575,0,0,18.44617724,13.52719665,1100,2000,350
28.02.1922,13.88422027,97.18954191,21.10732058,16.66106433,180.4948635,180.4948635,188.8253957,0,0,1.666106433,0,44.42950487,94.41269785,94.41269785,12.69239038,2.776844054,4.165266082,0,38.87581676,27.76844054,101.4293876,0,102.0994304,5.69,311.1643102,0.388758168,0.305452846,0,0.555368811,0,0,8.330532163,12.21811384,1100,2000,350
31.03.1922,15.37181437,107.6027006,12.2974515,18.44617724,199.8335868,199.8335868,209.0566754,0,0,1.844617724,0,49.18980598,104.5283377,104.5283377,12.2974515,6.148725748,4.611544311,0.999994376,43.04108024,43.04108024,31.45035276,0,72.89959152,6.3,348.6081085,0.73784709,0.338179916,0,0.614872575,0,0,10.76027006,13.52719665,1100,2000,350
30.04.1922,14.87595029,89.25570175,11.90076023,32.13205263,193.3873538,193.3873538,238.0152047,0,0,1.785114035,2.380152047,41.65266082,59.50380117,59.50380117,91.65321692,10.4131652,4.462785088,0.999994436,50.57823099,59.50380117,0,0,87.09951388,8.15,526.2405317,0.714045614,0.327270906,0,1.487595029,1.988630386,0,86.82990882,28.26430555,1100,2000,350
31.05.1922,15.37181437,92.23088622,12.2974515,179.7887409,199.8335868,199.8335868,245.9490299,157.4673114,0,1.844617724,2.459490299,43.04108024,61.48725748,61.48725748,76.36578537,13.83463293,4.611544311,0.999994376,0,122.974515,0,0,99.79944175,8.42,536.1977957,0.73784709,0.338179916,0,1.537181437,0,0,72.52821295,32.28081018,1100,2000,350
30.06.1922,14.87595029,89.25570175,18.92551454,46.59147631,193.3873538,193.3873538,267.7671053,0,0,1.785114035,0,41.65266082,59.50380117,59.50380117,21.61773096,14.87595029,1.487595029,0,0,89.25570175,0,0,30.39983048,8.15,866.7964959,0.714045614,0.327270906,0,1.487595029,12.06224866,0,4.462785088,31.23949561,1100,2000,350
31.07.1922,15.37181437,107.6027006,9.223088622,27.66926587,199.8335868,199.8335868,276.6926587,659.9644212,0,1.844617724,0,43.04108024,61.48725748,61.48725748,15.37166708,13.83463293,1.537181437,0,0,43.04108024,0,0,1.399992102,8.42,323.0976691,0.73784709,0.338179916,0,0.614872575,-7.86E-15,0,4.611544311,6.148725748,1100,2000,350
31.08.1922,15.37181437,107.6027006,9.223088622,53.50252222,199.8335868,199.8335868,276.6926587,653.9484612,0,1.844617724,0,43.04108024,61.48725748,61.48725748,15.37166956,10.76027006,1.537181437,0,0,36.89235449,0,0,0.199998878,8.42,155.8249426,0.73784709,0.338179916,0,0.614872575,0,0,4.611544311,6.148725748,1100,2000,350
30.09.1922,22.31392544,104.131652,8.925570175,51.77663755,193.3873538,232.0648246,267.7671053,177.422665,178.5114035,1.785114035,2.380152047,46.0162729,59.50380117,59.50380117,14.87595029,8.925570175,1.487595029,0,41.65266082,29.75190058,0,0,0,8.15,149.5474946,0.714045614,0.327270906,0,0.269191172,0,0,4.462785088,5.950380117,1100,2000,350
31.10.1922,30.74362874,92.23088622,12.2974515,22.93474704,307.4362874,199.8335868,276.6926587,197.3391356,245.9490299,1.844617724,0,49.18980598,104.5283377,104.5283377,47.60308984,3.074362874,15.62409725,0,43.04108024,30.74362874,0,0,0.699996051,5.81,164.9949857,0.430410802,0.338179916,0,0.614872575,0,0,13.21976036,19.98335868,1100,2000,350
30.11.1922,29.75190058,119.0076023,11.90076023,17.85114035,257.2323484,193.3873538,267.7671053,61.47595708,267.7671053,1.785114035,0,47.60304093,101.156462,101.156462,11.90076023,2.975190058,5.950380117,0,41.65266082,29.75190058,16.88423043,0,12.09993306,5.62,148.3923976,0.416526608,0.327270906,0,0.595038012,0,0,10.4131652,19.33873538,1100,2000,350
31.12.1922,30.74362874,122.974515,12.2974515,18.44617724,244.4841147,199.8335868,276.6926587,0,276.6926587,1.844617724,0,49.18980598,104.5283377,104.5283377,12.2974515,3.074362874,6.148725748,0,43.04108024,30.74362874,65.62716111,0,106.0994017,5.81,256.2931691,0.430410802,0.338179916,0,0.614872575,0,0,10.76027006,19.98335868,1100,2000,350
