Date,gw_01,gw_02,gw_03,gw_04,gw_05,gw_06,gw_07,gw_08,gw_09,gw_10,gw_11,gw_12,gw_13,gw_14,gw_15,gw_16,gw_17,gw_18,gw_19,gw_20,gw_21
1921-10-31,31.03,48.58,35.01,18.05,38.04,18.17,13.16,20.4,11.84,2.4,3.18,1.37,0.91,5.78,10.16,0.71,2.66,12.95,14.18,7.67,6.47
1921-11-30,85.9,110.54,67.76,39.85,105.84,81.83,45.42,95.34,77.56,30.39,32.37,24.28,48.82,8.31,11.46,7.28,9.23,23.49,13.02,10.75,16.43
1921-12-31,186.76,310.13,293.19,161.73,328.82,296.15,159.13,328.8,228.99,209.2,143.8,128.44,418.02,154.38,204.51,98.75,132.78,237.52,123.34,68.86,75.08
1922-01-31,40.49,91.37,89.57,57.22,124.36,129.9,81.01,195.05,134.64,113.09,79.94,70.97,232.65,103.38,132.06,65.36,78.68,158.38,113.93,65.64,89.95
1922-02-28,175.75,308.16,288.78,146.83,296.56,331.13,182.54,408.21,279,169.19,147.14,110.4,298.32,116.84,153.01,64.95,82.21,178.14,125.98,74.37,85.53
1922-03-31,90.96,78.93,52.08,38.03,114.03,97.02,78.04,171.28,84.94,85.92,74.95,63.41,200.94,67.51,104.7,46.27,66.09,154.82,95.43,64.8,83.78
1922-04-30,21.53,20.95,13.2,12.17,28.59,22.84,20.7,45.12,27.88,20.45,17.06,15.51,46.3,7.28,11.63,5.46,6.88,18.33,13.89,11.13,17.8
1922-05-31,50.91,53.58,20.98,13.66,48.07,22.16,25.63,45.92,19.83,29.05,20.26,19.03,74.31,23.66,27.26,13.48,15.42,31.73,16.88,9.36,6.73
1922-06-30,13.82,5.78,0.15,0.28,0.14,0.5,0.01,0.13,0.02,1.79,1.08,1.22,7.42,6.99,10.23,3.14,6.25,23.61,8.42,9.61,4.73
1922-07-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1922-08-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1922-09-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1922-10-31,78.48,128.71,109.25,49.86,97.02,99.87,43.53,76.27,55.59,27.2,24.11,17.78,50.44,17.19,26.33,14.13,20.93,50.71,21.11,16.49,19.36
