date,c148,c146,d94,sr_scagg,d77,d43a,d74,sr_ll_enr,sr_hth,sr_dnp,sr_cr3,c116,sr_gnt,sr_crw,sr_pnf,sr_trm,sr_isb,sr_scc,sr_par,sr_rll_cmb,sr_ber,sr_clk_inv,sr_buc,sr_hid,sr_mcr,sr_mil,sr_nml,c23,c37,sr_nhg,c77,c86,c87,sr_blb,sr_sha,sr_whi,sr_cle,c29,c28,sr_fol,d17,c27,sr_bul,d76b,d75,c38,c2,sr_lvq
31.10.1921,0,0,0.3,9.6,0,7.9,20.8,0.1,1,4.7,4400,19.3,4.2,9.3,14,2.5,13.2,0.9,2.3,2.7,0,3.6,0,0.2,3.1,66.4,5.9,9.8,0.4,0,155.2,0.3,0.5,4.4,230,0.6,10.2,2.3,1.7,8.5,7.3,3.9,16.8,3.5,16.3,0.1,1.2,0
30.11.1921,0,0,0.6,16.4,0,9.4,26.3,0.1,0.7,5.3,0,17,4.3,9.5,12.1,2.5,13,1.4,2.4,4.2,0,4.4,0,0.3,3.5,50.7,4.5,15.8,1.1,0.1,160.7,1.4,1.2,5.2,235,3.3,20.5,2.3,2,20,13.4,4.6,20.9,3.2,17.2,0.1,4.5,0
31.12.1921,0,0,1.1,15.2,0,25.4,80.3,5.5,4.6,46.9,0,17.1,4.6,10,53.9,13.1,21.6,5.7,12.4,10.6,33.8,37.9,11.7,8.9,44.1,83.1,22.1,16,13.8,12.9,213.7,24,6.4,14.9,332,25.6,34.9,8.9,3.2,65.2,54.2,13.9,36.3,9.5,48.3,2.4,25.4,0
31.01.1922,0,0,0.9,35.2,0,20.9,61.2,15.6,12.9,45.3,0,16.5,4.3,11,63.1,17.3,30.7,9.4,22.5,13.5,8.3,11,10,7.9,40.2,91.6,32.4,16.3,17.6,14.1,232.2,32.9,5.7,15.1,299,30.2,29.7,9.5,4.7,53.2,50.2,13.8,49.9,7.2,36,3.8,14.3,0
28.02.1922,0,0,1.3,35.6,0,54.9,160.3,11.7,15.3,171,0,15.2,3.8,11.9,81.7,26.6,33.8,12.1,67.1,36.4,125.5,146.3,41.3,34.4,163.2,121.2,90.2,14.3,104.5,102.3,422.7,32.5,17.8,81.8,542,30.1,43.3,17.3,6.6,154.4,170.1,42.6,73.2,19.8,95.5,24,73.8,1
31.03.1922,0,0,2.3,22,0,40.5,107.7,21.9,26.9,137.6,0,17.4,4.7,14,92.1,30.9,52.4,14.2,60.2,36.4,33.2,65.2,25.2,26.9,117.3,112.8,97.5,16.3,69.8,39.4,402.7,26.8,11.8,42.6,604,26.4,72.5,19.4,11,125,153.8,41.5,103.6,14.5,68.6,16.1,60.4,0
30.04.1922,0,0,4.7,9.5,0,45,110,57.1,58.9,147,0,24.2,10.4,21.9,159.9,50.5,84.4,16.3,110.2,51.5,13.9,43.7,12.7,20.1,124.3,183.5,165.3,15.3,83.9,27.2,731.6,77.7,9.1,47.2,772,77.9,150.3,27.3,21.8,172.1,219.5,69.9,201.1,16.4,77.2,16.5,61.2,0
31.05.1922,0,0,8.1,2.9,0,60.4,135.1,190.2,291.9,236.4,0,56.7,34.5,18.4,660.4,155,242,32,334.8,99.8,3.4,18.1,5.1,16.1,416.5,406.1,477.9,16.3,97.4,8.6,1246.6,49.5,6.2,36.4,623,40.9,260.2,18.8,35,417.1,480.7,182.6,492.7,22.5,112.2,11.7,40.1,0
30.06.1922,0,0,3.3,0.3,0,33.3,85.9,202.4,392.3,157.6,0,86.6,48.9,37.7,706.5,118,202,9.1,284,29,0.7,18.2,1.5,4.8,400.4,660,353.7,15.4,32.7,2.2,554.3,5.9,1.4,16.7,335,8.5,107.4,6.6,7.7,347.1,298.2,138.9,316.7,13,77.6,2,16.8,0
31.07.1922,0,0,0.6,1,0,12.7,29.3,50.1,111.9,32.6,0,75.7,31.3,29.8,225.8,31.1,88.7,2.3,39.8,8.3,0,17.8,0.1,2.5,86.3,305.7,76.1,15.7,4.2,0.4,216.8,1.5,0.1,5.3,238,8.5,19,2.9,1.7,67.7,44.6,19.7,64,4.4,27.8,0.2,5.4,0
31.08.1922,0,0,0.2,0,0,7.4,19.4,3.4,16.3,7.5,0,44.2,12.6,14.8,71.3,9,37.1,1.7,3.1,5.7,0,15.5,0,0.6,15.5,126.8,18.9,15.9,0.8,0,167.3,0.2,0,2.4,212,1.1,6.6,1.7,1.2,12.3,9,5.4,28.3,3.1,17.7,0,1.7,0
