date,pmp_banks-d800,sr_oro,sr_fol,sr_cmn,sr_nhg,sr_hid,sr_buc,sr_dnp,sr_mcr
31.10.1921,411,3163,720,299,274,46,120,1690,676
30.11.1921,397,3163,575,312,191,25,105,1690,676
31.12.1921,453,2931,575,323,152,25,105,1690,676
31.01.1922,468,3105,575,328,160,30,108,1690,676
28.02.1922,445,2813,575,323,169,30,107,1690,676
31.03.1922,464,2922,680,344,178,46,117,1690,737
30.04.1922,397,3446,800,371,250,78,139,1713,851
31.05.1922,411,3538,975,341,312,90,150,2002,969
30.06.1922,397,3538,975,431,317,90,150,2030,1024
31.07.1922,411,3538,950,431,317,90,150,2030,1024
31.08.1922,411,3538,800,431,317,90,150,2030,1024
30.09.1922,397,3350,650,379,317,69,135,1773,851
31.10.1922,411,3163,720,288,274,46,120,1690,676
30.11.1922,397,3163,575,301,191,25,105,1690,676
31.12.1922,453,2922,575,315,152,27,106,1690,676
31.01.1923,509,2976,575,328,160,31,108,1690,676
28.02.1923,449,3137,575,323,177,42,115,1690,676
31.03.1923,455,3163,680,344,202,61,128,1690,737
30.04.1923,397,3459,800,386,269,75,137,1713,851
31.05.1923,411,3538,975,423,315,90,150,2002,969
30.06.1923,397,3538,975,431,317,90,150,2030,1024
31.07.1923,411,3538,950,431,317,90,150,2030,1024
31.08.1923,411,3538,800,431,317,90,150,2030,1024
30.09.1923,397,3350,650,382,317,69,135,1773,851
31.10.1923,411,3163,720,292,274,46,120,1690,676
30.11.1923,397,3163,575,303,191,25,105,1690,676
31.12.1923,428,3163,575,323,152,28,107,1690,676
31.01.1924,449,3150,575,328,165,37,112,1690,676
29.02.1924,403,3096,575,323,188,46,118,1690,676
31.03.1924,433,3163,680,344,211,56,124,1690,737
30.04.1924,397,3459,800,386,270,81,141,1713,851
31.05.1924,411,3538,975,438,315,90,150,2002,969
30.06.1924,397,3538,975,431,317,90,150,2030,1024
31.07.1924,411,3538,950,431,317,90,150,2030,1024
31.08.1924,411,3538,800,431,317,90,150,2030,1024
30.09.1924,397,3350,650,394,317,69,135,1773,851
31.10.1924,411,3158,720,326,274,46,120,1690,676
30.11.1924,397,3163,575,318,191,25,105,1690,676
31.12.1924,426,3094,575,323,152,28,107,1690,676
31.01.1925,444,3163,575,328,162,37,112,1690,676
28.02.1925,408,2896,575,323,181,38,112,1690,676
31.03.1925,433,3002,680,344,206,51,121,1690,737
30.04.1925,397,3363,800,363,268,80,140,1690,851
31.05.1925,411,3538,975,424,315,90,150,1780,969
30.06.1925,397,3538,975,431,317,90,150,1935,1024
31.07.1925,411,3538,950,431,317,90,150,2030,1024
31.08.1925,411,3538,800,431,317,90,150,2030,1024
30.09.1925,397,3350,650,383,317,69,135,1773,851
31.10.1925,411,3163,720,296,274,46,120,1690,676
30.11.1925,397,3163,575,306,191,25,105,1690,676
31.12.1925,426,3163,575,323,152,28,107,1690,676
31.01.1926,448,3012,575,328,165,35,112,1690,676
28.02.1926,414,2872,575,323,188,39,113,1690,676
31.03.1926,434,3145,680,344,211,61,128,1690,737
30.04.1926,397,3348,800,363,270,77,139,1713,851
31.05.1926,411,3538,975,438,315,90,150,2002,969
30.06.1926,397,3538,975,431,317,90,150,2030,1024
31.07.1926,411,3538,950,431,317,90,150,2030,1024
31.08.1926,411,3538,800,431,317,90,150,2030,1024
30.09.1926,397,3350,650,394,317,69,135,1773,851
31.10.1926,411,3163,720,326,274,46,120,1690,676
30.11.1926,397,2788,575,318,191,25,105,1690,676
31.12.1926,428,3046,575,323,152,28,107,1690,676
31.01.1927,449,2985,575,328,160,35,111,1690,676
28.02.1927,427,2788,575,323,177,35,110,1690,676
31.03.1927,439,2999,680,344,202,56,124,1690,737
30.04.1927,397,3396,800,363,269,79,140,1713,851
31.05.1927,411,3538,975,396,315,90,150,1870,969
30.06.1927,397,3538,975,431,317,90,150,2030,1024
31.07.1927,411,3538,950,431,317,90,150,2030,1024
31.08.1927,411,3538,800,431,317,90,150,2030,1024
30.09.1927,397,3350,650,381,317,69,135,1773,851
31.10.1927,411,3163,720,291,274,46,120,1690,676
30.11.1927,397,2966,575,284,191,25,105,1690,676
31.12.1927,432,3045,575,309,152,27,106,1690,676
31.01.1928,454,3072,575,328,162,37,112,1690,676
29.02.1928,414,3108,575,321,181,45,117,1690,676
31.03.1928,468,2797,679,290,206,48,119,1690,737
30.04.1928,397,3350,800,363,268,78,139,1713,851
31.05.1928,411,3538,975,438,315,90,150,1960,969
30.06.1928,397,3538,975,431,317,90,150,2015,1024
31.07.1928,411,3538,950,431,317,90,150,2030,1024
31.08.1928,411,3538,800,431,317,90,150,2030,1024
30.09.1928,397,3350,650,394,317,69,135,1773,851
31.10.1928,411,3163,720,326,274,46,120,1690,676
30.11.1928,397,3163,575,318,191,25,105,1690,676
31.12.1928,428,3133,575,323,152,28,107,1690,676
31.01.1929,447,3163,575,328,165,36,111,1690,676
28.02.1929,403,3163,575,323,188,45,117,1690,676
31.03.1929,432,3163,680,344,211,59,126,1690,737
30.04.1929,397,3459,800,386,270,79,140,1713,851
31.05.1929,411,3538,975,438,315,90,150,2002,969
30.06.1929,397,3538,975,431,317,90,150,2030,1024
31.07.1929,411,3538,950,431,317,90,150,2030,1024
31.08.1929,411,3538,800,431,317,90,150,2030,1024
30.09.1929,397,3350,650,394,317,69,135,1773,851
31.10.1929,411,3163,720,326,274,46,120,1690,676
30.11.1929,397,3163,575,318,191,25,105,1690,676
31.12.1929,424,2822,575,323,152,28,107,1690,676
31.01.1930,445,2927,575,328,165,37,112,1690,676
28.02.1930,402,2972,575,323,188,40,114,1690,676
31.03.1930,432,3105,680,344,211,57,125,1690,737
30.04.1930,397,3433,800,373,270,80,141,1713,851
31.05.1930,411,3538,975,438,315,90,150,1990,969
30.06.1930,397,3538,975,431,317,90,150,2030,1024
31.07.1930,411,3538,950,431,317,90,150,2030,1024
31.08.1930,411,3538,800,431,317,90,150,2030,1024
30.09.1930,397,3350,650,394,317,69,135,1773,851
31.10.1930,411,3163,720,320,274,46,120,1690,676
30.11.1930,397,3163,575,318,191,25,105,1690,676
31.12.1930,424,3163,575,323,152,28,107,1690,676
31.01.1931,447,3163,575,328,165,36,112,1690,676
28.02.1931,401,3163,575,323,188,44,116,1690,676
31.03.1931,430,3159,680,344,211,61,128,1690,737
30.04.1931,397,3459,800,386,270,81,142,1713,851
31.05.1931,411,3538,975,438,315,90,150,2002,969
30.06.1931,397,3538,975,431,317,90,150,2030,1024
31.07.1931,411,3538,950,431,317,90,150,2030,1024
