Units, ,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF
Type, ,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER
1,31 Oct 1920, 24:00,5.200, , , , , , , , , 
2,30 Nov 1920, 24:00,3.600, , , , , , , , , 
3,31 Dec 1920, 24:00,3.900, , , , , , , , , 
4,31 Jan 1921, 24:00,12.200, , , , , , , , , 
5,28 Feb 1921, 24:00,11.000, , , , , , , , , 
6,31 Mar 1921, 24:00,12.200, , , , , , , , , 
7,30 Apr 1921, 24:00,13.200, , , , , , , , , 
8,31 May 1921, 24:00,13.200, , , , , , , , , 
9,30 Jun 1921, 24:00,12.600, , , , , , , , , 
10,31 Jul 1921, 24:00,13.000, , , , , , , , , 
11,31 Aug 1921, 24:00,12.900, , , , , , , , , 
12,30 Sep 1921, 24:00,10.300, , , , , , , , , 
13,31 Oct 1921, 24:00,9.827, , , , , , , , , 
14,30 Nov 1921, 24:00,15.777, , , , , , , , , 
15,31 Dec 1921, 24:00,16.016, , , , , , , , , 
16,31 Jan 1922, 24:00,16.277, , , , , , , , , 
17,28 Feb 1922, 24:00,14.297, , , , , , , , , 
18,31 Mar 1922, 24:00,16.267, , , , , , , , , 
19,30 Apr 1922, 24:00,15.297, , , , , , , , , 
20,31 May 1922, 24:00,16.287, , , , , , , , , 
21,30 Jun 1922, 24:00,15.350, , , , , , , , , 
22,31 Jul 1922, 24:00,15.746, , , , , , , , , 
23,31 Aug 1922, 24:00,15.850, , , , , , , , , 
24,30 Sep 1922, 24:00,9.806, , , , , , , , , 
25,31 Oct 1922, 24:00,0.000, , , , , , , , , 
26,30 Nov 1922, 24:00,0.249, , , , , , , , , 
27,31 Dec 1922, 24:00,12.625, , , , , , , , , 
28,31 Jan 1923, 24:00,12.874, , , , , , , , , 
29,28 Feb 1923, 24:00,14.209, , , , , , , , , 
30,31 Mar 1923, 24:00,15.714, , , , , , , , , 
31,30 Apr 1923, 24:00,14.737, , , , , , , , , 
32,31 May 1923, 24:00,15.395, , , , , , , , , 
33,30 Jun 1923, 24:00,14.857, , , , , , , , , 
34,31 Jul 1923, 24:00,15.236, , , , , , , , , 
35,31 Aug 1923, 24:00,11.798, , , , , , , , , 
36,30 Sep 1923, 24:00,2.810, , , , , , , , , 
37,31 Oct 1923, 24:00,8.036, , , , , , , , , 
38,30 Nov 1923, 24:00,5.081, , , , , , , , , 
39,31 Dec 1923, 24:00,0.399, , , , , , , , , 
40,31 Jan 1924, 24:00,0.000, , , , , , , , , 
41,29 Feb 1924, 24:00,0.000, , , , , , , , , 
42,31 Mar 1924, 24:00,0.000, , , , , , , , , 
43,30 Apr 1924, 24:00,0.046, , , , , , , , , 
44,31 May 1924, 24:00,0.000, , , , , , , , , 
45,30 Jun 1924, 24:00,0.499, , , , , , , , , 
46,31 Jul 1924, 24:00,0.146, , , , , , , , , 
47,31 Aug 1924, 24:00,0.000, , , , , , , , , 
48,30 Sep 1924, 24:00,0.261, , , , , , , , , 
49,31 Oct 1924, 24:00,0.000, , , , , , , , , 
50,30 Nov 1924, 24:00,0.251, , , , , , , , , 
51,31 Dec 1924, 24:00,12.707, , , , , , , , , 
52,31 Jan 1925, 24:00,12.958, , , , , , , , , 
53,28 Feb 1925, 24:00,14.302, , , , , , , , , 
54,31 Mar 1925, 24:00,15.816, , , , , , , , , 
55,30 Apr 1925, 24:00,14.833, , , , , , , , , 
56,31 May 1925, 24:00,15.495, , , , , , , , , 
57,30 Jun 1925, 24:00,14.954, , , , , , , , , 
58,31 Jul 1925, 24:00,15.335, , , , , , , , , 
59,31 Aug 1925, 24:00,11.875, , , , , , , , , 
60,30 Sep 1925, 24:00,2.828, , , , , , , , , 
61,31 Oct 1925, 24:00,0.000, , , , , , , , , 
62,30 Nov 1925, 24:00,0.249, , , , , , , , , 
63,31 Dec 1925, 24:00,12.617, , , , , , , , , 
64,31 Jan 1926, 24:00,12.866, , , , , , , , , 
65,28 Feb 1926, 24:00,14.200, , , , , , , , , 
66,31 Mar 1926, 24:00,15.704, , , , , , , , , 
67,30 Apr 1926, 24:00,14.728, , , , , , , , , 
68,31 May 1926, 24:00,15.385, , , , , , , , , 
69,30 Jun 1926, 24:00,14.847, , , , , , , , , 
70,31 Jul 1926, 24:00,15.226, , , , , , , , , 
71,31 Aug 1926, 24:00,11.790, , , , , , , , , 
72,30 Sep 1926, 24:00,2.808, , , , , , , , , 
73,31 Oct 1926, 24:00,0.331, , , , , , , , , 
74,30 Nov 1926, 24:00,0.211, , , , , , , , , 
75,31 Dec 1926, 24:00,5.245, , , , , , , , , 
76,31 Jan 1927, 24:00,13.267, , , , , , , , , 
77,28 Feb 1927, 24:00,5.526, , , , , , , , , 
78,31 Mar 1927, 24:00,0.000, , , , , , , , , 
79,30 Apr 1927, 24:00,2.367, , , , , , , , , 
80,31 May 1927, 24:00,10.018, , , , , , , , , 
81,30 Jun 1927, 24:00,7.992, , , , , , , , , 
82,31 Jul 1927, 24:00,8.735, , , , , , , , , 
83,31 Aug 1927, 24:00,8.193, , , , , , , , , 
84,30 Sep 1927, 24:00,7.611, , , , , , , , , 
85,31 Oct 1927, 24:00,12.940, , , , , , , , , 
86,30 Nov 1927, 24:00,11.668, , , , , , , , , 
87,31 Dec 1927, 24:00,6.571, , , , , , , , , 
88,31 Jan 1928, 24:00,10.162, , , , , , , , , 
89,29 Feb 1928, 24:00,14.882, , , , , , , , , 
90,31 Mar 1928, 24:00,15.920, , , , , , , , , 
91,30 Apr 1928, 24:00,15.391, , , , , , , , , 
92,31 May 1928, 24:00,15.869, , , , , , , , , 
93,30 Jun 1928, 24:00,15.188, , , , , , , , , 
94,31 Jul 1928, 24:00,14.710, , , , , , , , , 
95,31 Aug 1928, 24:00,15.442, , , , , , , , , 
96,30 Sep 1928, 24:00,12.156, , , , , , , , , 
97,31 Oct 1928, 24:00,13.025, , , , , , , , , 
98,30 Nov 1928, 24:00,13.015, , , , , , , , , 
99,31 Dec 1928, 24:00,12.634, , , , , , , , , 
100,31 Jan 1929, 24:00,13.757, , , , , , , , , 
101,28 Feb 1929, 24:00,6.417, , , , , , , , , 
102,31 Mar 1929, 24:00,4.883, , , , , , , , , 
103,30 Apr 1929, 24:00,0.451, , , , , , , , , 
104,31 May 1929, 24:00,0.852, , , , , , , , , 
105,30 Jun 1929, 24:00,1.524, , , , , , , , , 
106,31 Jul 1929, 24:00,1.514, , , , , , , , , 
107,31 Aug 1929, 24:00,0.191, , , , , , , , , 
108,30 Sep 1929, 24:00,12.484, , , , , , , , , 
109,31 Oct 1929, 24:00,5.260, , , , , , , , , 
110,30 Nov 1929, 24:00,7.135, , , , , , , , , 
111,31 Dec 1929, 24:00,12.010, , , , , , , , , 
112,31 Jan 1930, 24:00, ,14.913, , , , , , , , 
113,28 Feb 1930, 24:00, ,14.125, , , , , , , , 
114,31 Mar 1930, 24:00, ,14.856, , , , , , , , 
115,30 Apr 1930, 24:00, ,14.221, , , , , , , , 
116,31 May 1930, 24:00, ,15.048, , , , , , , , 
117,30 Jun 1930, 24:00, ,14.058, , , , , , , , 
118,31 Jul 1930, 24:00, ,14.635, , , , , , , , 
119,31 Aug 1930, 24:00, ,14.519, , , , , , , , 
120,30 Sep 1930, 24:00, ,9.038, , , , , , , , 
121,31 Oct 1930, 24:00, ,16.645, , , , , , , , 
122,30 Nov 1930, 24:00, ,16.632, , , , , , , , 
123,31 Dec 1930, 24:00, ,16.145, , , , , , , , 
124,31 Jan 1931, 24:00, ,17.580, , , , , , , , 
125,28 Feb 1931, 24:00, ,8.201, , , , , , , , 
126,31 Mar 1931, 24:00, ,6.240, , , , , , , , 
127,30 Apr 1931, 24:00, ,0.577, , , , , , , , 
