   Ordinate,   Date / Time,ADJCLRLK_MAY1_DV STORAGE L2020A,AVAILABLE_SUPPLY_NID_DV STORAGE L2020A,BMASDV STORAGE L2020A,CLRLK_MAY1_DV STORAGE L2020A,CVP_SL STORAGE L2020A,EBMUD_TOTALSTORAGEDV STORAGE L2020A,GROSS_STORAGE_NID_DV STORAGE L2020A,MFPPOW_FRMDW_STORAGEDV STORAGE L2020A,MFPTOT_STORAGEDV STORAGE L2020A,OROPRESEPSTOR STORAGE L2020A,PGERESBALANCE STORAGE L2020A,PGERESBALANCENEG STORAGE L2020A,PGERESBALANCEPOS STORAGE L2020A,PGESTORAGE STORAGE L2020A,PGESTORAGE_LEVEL3LODIDV STORAGE L2020A,PGESTORAGE_LEVEL4INITDV STORAGE L2020A,REMWQRELCAP STORAGE L2020A,S15 STORAGE L2020A,S17 STORAGE L2020A,S25 STORAGE L2020A,S27 STORAGE L2020A,S28 STORAGE L2020A,S29 STORAGE L2020A,S30 STORAGE L2020A,S31 STORAGE L2020A,S32 STORAGE L2020A,S33 STORAGE L2020A,S34 STORAGE L2020A,S422 STORAGE L2020A,S422_C6 STORAGE L2020A,S422_C7 STORAGE L2020A,S422_C8 STORAGE L2020A,S422_CC STORAGE L2020A,S422_P STORAGE L2020A,SIO STORAGE L2020A,SIO_CVP STORAGE L2020A,SIO_FWUA STORAGE L2020A,SIO_SWP STORAGE L2020A,S_ADJCLRLK STORAGE L2020A,S_ALMNR STORAGE L2020A,S_ALOHA STORAGE L2020A,S_ALPNE STORAGE L2020A,S_AMADR STORAGE L2020A,S_ANTLP STORAGE L2020A,S_BEARD STORAGE L2020A,S_BLKBT STORAGE L2020A,S_BLUMD STORAGE L2020A,S_BOWMN STORAGE L2020A,S_BRYSA STORAGE L2020A,S_BTVLY STORAGE L2020A,S_BUCKS STORAGE L2020A,S_CAPLS STORAGE L2020A,S_CLRLK STORAGE L2020A,S_CMBIE STORAGE L2020A,S_CMCHE STORAGE L2020A,S_CMPFW STORAGE L2020A,S_DAVIS STORAGE L2020A,S_DONLL STORAGE L2020A,S_EBTML STORAGE L2020A,S_ECHOL STORAGE L2020A,S_ENGLB STORAGE L2020A,S_EPARK STORAGE L2020A,S_ESTMN STORAGE L2020A,S_FOLSM STORAGE L2020A,S_FOLSMINIT_DV_DV STORAGE L2020A,S_FOLSM_CARRYOVER_DV STORAGE L2020A,S_FOLSM_CVP STORAGE L2020A,S_FOLSM_DELTA STORAGE L2020A,S_FOLSM_DELTA_S STORAGE L2020A,S_FOLSM_EBMUD STORAGE L2020A,S_FOLSM_MON STORAGE L2020A,S_FOLSM_TRANS STORAGE L2020A,S_FOLSM_UPSTREAM STORAGE L2020A,S_FOLSM_WHEELCVC STORAGE L2020A,S_FOLSM_WHEELJPOD STORAGE L2020A,S_FOLSM_WHLCVC STORAGE L2020A,S_FRDYC STORAGE L2020A,S_FRMAN STORAGE L2020A,S_FRMDW STORAGE L2020A,S_FRNCH STORAGE L2020A,S_GERLE STORAGE L2020A,S_HHOLE STORAGE L2020A,S_HNSLY STORAGE L2020A,S_ICEHS STORAGE L2020A,S_INDVL STORAGE L2020A,S_JKSMD STORAGE L2020A,S_JNKSN STORAGE L2020A,S_KSWCK STORAGE L2020A,S_LBEAR STORAGE L2020A,S_LCBRF STORAGE L2020A,S_LGRSV STORAGE L2020A,S_LKVLY STORAGE L2020A,S_LOONL STORAGE L2020A,S_LOSVQ STORAGE L2020A,S_LWSTN STORAGE L2020A,S_LYONS STORAGE L2020A,S_MCLRE STORAGE L2020A,S_MDSTO STORAGE L2020A,S_MELON STORAGE L2020A,S_MERLC STORAGE L2020A,S_MLRTN STORAGE L2020A,S_MTMDW STORAGE L2020A,S_NBB_APR STORAGE L2020A,S_NBB_AUG STORAGE L2020A,S_NBB_JUL STORAGE L2020A,S_NBB_JUN STORAGE L2020A,S_NBB_MAR STORAGE L2020A,S_NBB_MAY STORAGE L2020A,S_NBB_SEP STORAGE L2020A,S_NBLDB STORAGE L2020A,S_NHGAN STORAGE L2020A,S_NTOMA STORAGE L2020A,S_OROVL STORAGE L2020A,S_OROVL_DELTA STORAGE L2020A,S_OROVL_DELTA_S STORAGE L2020A,S_OROVL_MON STORAGE L2020A,S_OROVL_TRANS STORAGE L2020A,S_OROVL_UPSTREAM STORAGE L2020A,S_OROVL_WHEELCVC STORAGE L2020A,S_OROVL_WHEELJPOD STORAGE L2020A,S_OROVL_WHLCVC STORAGE L2020A,S_OROVL_WTS STORAGE L2020A,S_OROVL_WTS_STG1 STORAGE L2020A,S_PARDE STORAGE L2020A,S_PCRST STORAGE L2020A,S_PEDRO STORAGE L2020A,S_RLIEF STORAGE L2020A,S_RLLNS STORAGE L2020A,S_RLLNS_NID STORAGE L2020A,S_RLLNS_PGE STORAGE L2020A,S_RNCHO STORAGE L2020A,S_RVPHB STORAGE L2020A,S_SCOTF STORAGE L2020A,S_SGRGE STORAGE L2020A,S_SHSTA STORAGE L2020A,S_SHSTA4 STORAGE L2020A,S_SHSTA_DELTA STORAGE L2020A,S_SHSTA_DELTA_S STORAGE L2020A,S_SHSTA_MON STORAGE L2020A,S_SHSTA_TRANS STORAGE L2020A,S_SHSTA_UPSTREAM STORAGE L2020A,S_SHSTA_WHEELCVC STORAGE L2020A,S_SHSTA_WHEELJPOD STORAGE L2020A,S_SHSTA_WHLCVC STORAGE L2020A,S_SHSTA_WTS STORAGE L2020A,S_SHSTA_WTS_STG1 STORAGE L2020A,S_SILVR STORAGE L2020A,S_SLTSP STORAGE L2020A,S_SLUIS STORAGE L2020A,S_SLUIS_CVP STORAGE L2020A,S_SLUIS_CVP_DELTA STORAGE L2020A,S_SLUIS_CVP_DELTA_S STORAGE L2020A,S_SLUIS_CVP_MON STORAGE L2020A,S_SLUIS_CVP_TRANS STORAGE L2020A,S_SLUIS_CVP_UPSTREAM STORAGE L2020A,S_SLUIS_CVP_WHEELCVC STORAGE L2020A,S_SLUIS_CVP_WHEELJPOD STORAGE L2020A,S_SLUIS_CVP_WHLCVC STORAGE L2020A,S_SLUIS_SWP STORAGE L2020A,S_SLUIS_SWP_DELTA STORAGE L2020A,S_SLUIS_SWP_DELTA_S STORAGE L2020A,S_SLUIS_SWP_MON STORAGE L2020A,S_SLUIS_SWP_TRANS STORAGE L2020A,S_SLUIS_SWP_UPSTREAM STORAGE L2020A,S_SLUIS_SWP_WHEELCVC STORAGE L2020A,S_SLUIS_SWP_WHEELJPOD STORAGE L2020A,S_SLUIS_SWP_WHLCVC STORAGE L2020A,S_SLYCK STORAGE L2020A,S_SPICE STORAGE L2020A,S_SPLDG STORAGE L2020A,S_STMPY STORAGE L2020A,S_THRMA STORAGE L2020A,S_THRMF STORAGE L2020A,S_TRLCK STORAGE L2020A,S_TRNTY STORAGE L2020A,S_TRNTY_DELTA STORAGE L2020A,S_TRNTY_DELTA_S STORAGE L2020A,S_TRNTY_MON STORAGE L2020A,S_TRNTY_TRANS STORAGE L2020A,S_TRNTY_UPSTREAM STORAGE L2020A,S_TRNTY_WHEELCVC STORAGE L2020A,S_TRNTY_WHEELJPOD STORAGE L2020A,S_TRNTY_WHLCVC STORAGE L2020A,S_TULOC STORAGE L2020A,S_UBEAR STORAGE L2020A,S_UNVLY STORAGE L2020A,S_UPPERFEATHER STORAGE L2020A,S_WDWRD STORAGE L2020A,S_WKYTN STORAGE L2020A,TOTAL_MOUNTAIN_STORAGE_NID_DV STORAGE L2020A,WSI_CVP_STORAGE STORAGE L2020A
Units, ,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF
Type, ,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER
1,31.Jan.10,183.91,339.76,0,163.6,573.12,579.92,205.62,62.69,188.17,1588,-1.325,1.325,0,24.31,10,27,75,25,0,70,122,165,285,0,0,0,0,0,98.51,98.51,98.51,98.51,98.51,0,205.48,0,205.48,0,154.7,765,0,5.2,12.989,17.428,27.757,46.68,4.72,26.894,995,38.4,61.6,13,996.7,5.555,286.82,104.5,50.793,7.6,132,0.07,65,39.439,24.48,385.1,0,567,386,385.1,385.1,0,385.1,385.1,385.1,385.1,385.1,385.1,10.22,28.209,49.87,13.262,1.26,111.61,26.253,29.275,77,31.422,11.733,23.77,3.809,3.201,49.05,3.6,41.179,98.51,14,2.9801,415.89,17,1578.4,24.502,205.48,5,0,0,0,0,0,0,0,600,105.01,8.76,1749.5,1749.5,1749.5,1749.5,1749.5,1749.5,1749.5,1749.5,1749.5,0,0,161.1,3.822,1420.7,5.554,65.996,55.996,10,0,2.5819,30.432,38.3,3577.9,0,3577.9,3577.9,3577.9,3577.9,3577.9,3577.9,3577.9,3577.9,0,0,2.1078,20.5,1064.7,573.12,573.12,573.12,645.94,573.12,645.94,573.12,573.12,573.12,491.6,491.6,491.6,814,491.6,814,491.6,491.6,491.6,25.16,105,21.217,16.645,57.041,24,18,1030.5,1030.5,1030.5,1030.5,1030.5,1030.5,1030.5,1030.5,1030.5,57,3.08,148.7,1043.2,21.1,206,74.12,5566.7
2,28.Feb.10,183.91,354.37,0,163.6,730.07,573.88,205.62,62.69,188.17,1588,-4.655,4.655,0,32.02,10,32.55,75,25,0,70,122,165,290,0,0,0,0,0,98.49,98.49,98.49,98.49,98.49,0,282.21,0,282.21,0,206.45,788,0,5.93,14.557,18.6,24.7,62.48,5.39,25.773,1046.2,38.4,64.758,13,1048.5,5.555,274.78,104.5,51.193,5.9,138,0.07,65,46.615,36.42,429.27,423.03,90,430.2,429.27,429.27,0,429.27,429.27,429.27,429.27,429.27,429.27,9.292,28.766,51.27,13.616,1.26,122.34,39.95,28.327,93.12,32.02,13.719,23.77,5.005,3.201,52.125,3.6107,41.253,98.49,14,3.4583,471.24,18,1635.5,28.198,282.21,6,0,0,0,0,0,0,0,650,123.44,8.76,1981.4,1981.4,1981.4,1981.4,1981.4,1981.4,1981.4,1981.4,1981.4,0,0,161.1,3.131,1480.9,3.142,65.996,55.996,10,0,4.2152,37.157,38.3,4251,0,4251,4251,4251,4251,4251,4251,4251,4251,0,0,2.233,27.01,1314,730.07,730.07,730.07,769.09,730.07,769.09,730.07,730.07,730.07,583.9,583.9,583.9,789,583.9,789,583.9,583.9,583.9,35.88,105,18.352,18.334,57.041,24,25,1166.7,1166.7,1166.7,1166.7,1166.7,1166.7,1166.7,1166.7,1166.7,57,3.49,159.16,1087.9,10.458,206,73.21,6577.1
3,31.Mar.10,183.91,354.37,0,163.6,728.03,592.08,205.62,62.69,188.17,1588,-13.144,13.144,0,38.49,10,54.15,75,35,0,70,122,165,300,0,0,0,0,0,91.6,91.6,91.6,91.6,91.6,0,332.89,0,332.89,0,255.23,830.5,0.87,7.48,16.927,20.6,31.203,102.03,5.16,29.416,1088.6,40.8,70.1,13.651,1097.2,5.555,282.98,104.5,54.156,4.6,142,0.365,65,48.2,50.08,525.11,521.19,90,525.33,525.11,525.11,0,525.11,525.11,525.11,525.11,525.11,525.11,10.601,30.728,51.73,14.576,1.26,148.37,55.046,28.415,107.15,34.419,16.719,23.77,7.059,3.201,58.777,4.2119,43.736,91.6,14,2.6037,531.14,18,1703.7,34.883,332.89,11,0,0,0,0,0,0,0,748.39,146.87,8.76,2289.2,2289.2,2289.2,2289.2,2289.2,2289.2,2289.2,2289.2,2289.2,0,0,167.1,3.441,1626,2.731,65.996,55.996,10,0,5.308,45.316,50.4,4439,0,4439,4439,4439,4439,4439,4439,4439,4439,0,0,3.1719,31.43,1347.6,728.03,728.03,728.03,823.41,728.03,823.41,728.03,728.03,728.03,619.6,619.6,619.6,811,619.6,811,619.6,619.6,619.6,47.06,109.26,26.724,20,57.041,24,30,1299.4,1299.4,1299.4,1299.4,1299.4,1299.4,1299.4,1299.4,1299.4,58.5,5.15,182.76,1169,5.805,217,73.04,6991.6
4,30.Apr.10,183.91,397.59,6.13,163.6,767.84,610.68,188.61,62.69,188.17,1588,-40.314,40.314,0,78.55,10,89.26,75,40,0,72,122,165,310,0,0,0,0,0,91.14,91.14,91.14,91.14,91.14,0,177.92,0,177.92,0,247.57,882.1,2.3765,9.04,20.301,22.6,49.479,144,7.84,37.564,1120.8,41.9,79.133,14.93,1089.6,5.555,295.48,104.5,61.837,15.746,140,1.0216,65,50.9,61.84,731.94,730.44,90,732.86,731.94,731.94,0,731.94,731.94,731.94,731.94,731.94,731.94,16.469,34.078,72.62,16.423,1.26,178.58,70.037,31.662,124.72,42.539,20.129,23.77,13.317,3.201,71.771,5.0715,51.048,91.14,14,3.3565,624.1,19,1698.1,43.806,177.92,18,850,659.77,820,920,748.39,930,430,850,170.31,8.76,2721.5,2721.5,2721.5,2721.5,2721.5,2721.5,2721.5,2721.5,2721.5,0,0,175.2,8.406,1713,3.194,65.996,55.996,10,0,6.143,48.547,50.4,4552.1,0,4552.1,4552.1,4552.1,4552.1,4552.1,4552.1,4552.1,4552.1,0,0,6.0944,65.23,1265.7,767.84,767.84,777.35,819.32,767.84,819.32,767.84,767.84,767.84,497.8,604.6,595,686.2,604.6,686.2,604.6,604.6,604.6,54.25,127.69,51.864,20,57.041,24,30,1490.7,1490.7,1490.7,1490.7,1490.7,1490.7,1490.7,1490.7,1490.7,62.5,7.01,227.04,1271.8,5.172,240,80.04,7542.6
5,31.May.10,247.57,397.59,47.5,247.57,656.64,635.49,188.61,72.62,251.2,1588,-65.579,65.579,0,164.5,10,193.9,75,40,0,72,122,165,315,0,0,0,0,0,90.34,90.34,90.34,90.34,90.34,0,244.2,0,244.2,0,223.75,961.9,5.063,9.55,22,22.6,74.878,144,12.73,58.852,1099.4,41.5,91.5,19.175,1065.7,5.555,299.43,104.5,65.674,46.731,138,1.943,65,50.9,65.34,967,967,0,967,967,967,0,967,967,967,967,967,967,33.598,35.438,110.52,19.712,1.26,207.59,74.54,36.733,114.57,58.599,23.226,23.77,25.266,7.689,84.938,6.7795,69.556,90.34,14,4.3,761.36,20,1676.1,45.04,244.2,20,0,0,0,0,0,0,0,930.67,172.3,8.76,3063.9,3063.9,3063.9,3063.9,3063.9,3063.9,3063.9,3063.9,3063.9,0,0,198.06,18.082,1799.1,9.194,65.996,55.996,10,0,6.143,48.547,50.4,4552.1,0,4552.1,4552.1,4552.1,4552.1,4552.1,4552.1,4552.1,4552.1,0,0,8.64,139.24,982.6,656.64,656.64,664.54,722.54,656.64,728.07,656.64,656.64,656.64,325.9,426,418.1,435.1,426,442.3,426,426,426,55.32,176.23,75.912,20,57.041,24,32,1540,1540,1540,1540,1540,1540,1540,1540,1540,67,7.24,264.2,1385,2.545,240,98.16,7715.7
6,30.Jun.10,247.57,397.59,46.02,247.57,434.78,743.43,188.61,110.52,318.11,1588,-11.593,11.593,0,193.9,112,164.5,75,40,0,72,122,165,315,0,0,0,0,0,89.33,89.33,89.33,89.33,89.33,0,480.02,0,480.02,0,190.35,984,5.063,9.39,22,21.7,96.8,144,15.07,68.363,1052.8,42.2,86.2,22.338,1032.3,5.555,413.37,104.5,64.508,63.5,132,1.943,65,50.372,54.67,967,967,90,967,967,967,0,967,967,967,967,967,967,49.426,32.962,134.99,20.948,1.26,207.59,67.762,40.656,101.68,67.435,22.609,23.77,52,7.689,84.647,7.6,69.556,89.33,14,4.6041,988.64,20,1802.1,42.716,480.02,17,0,0,0,0,0,0,0,963.5,166.28,8.76,3333.2,3333.2,3333.2,3333.2,3333.2,3333.2,3333.2,3333.2,3333.2,0,0,198.06,17.977,2030,15.1,65.996,55.996,10,0,6.143,45.198,47.668,4500,0,4500,4500,4500,4500,4500,4500,4500,4500,0,0,8.64,141.9,622.3,434.78,434.78,434.78,481.32,434.78,481.32,434.78,434.78,434.78,187.6,187.6,187.6,269.3,187.6,278.5,187.6,187.6,187.6,48.99,185.35,75.912,20,57.041,24,32,1805.2,1805.2,1805.2,1805.2,1805.2,1805.2,1805.2,1805.2,1805.2,67,7.04,264.2,1388.4,3.095,240,138.79,7707
7,31.Jul.10,247.57,397.59,0,247.57,220.63,698.08,188.61,134.99,342.58,1588,0,0,0,179.88,94,162.6,75,40,0,72,122,165,315,0,0,0,0,0,100.45,100.45,100.45,100.45,100.45,0,407.21,0,407.21,0,136.59,932,5.063,8.59,20.169,20.4,96.8,130.2,13.18,62.688,994.5,42.1,76.7,22.338,978.6,5.555,372.08,103,61.254,63.371,128,1.943,65,49.08,39.75,896.24,942,90,942,896.24,896.24,0,896.24,896.24,896.24,896.24,896.24,896.24,41.829,30,118.83,20.359,1.26,180.85,58.848,37.137,85.91,63.853,19.998,23.77,48.601,4.8351,75.55,7.2689,59.704,100.45,14,2.575,945.83,21,1744.6,38.426,407.21,11,0,0,0,0,0,0,0,820,156.92,8.76,2836.1,2836.1,2836.1,2836.1,2836.1,2836.1,2836.1,2836.1,2836.1,0,0,198,17.602,1910,14.5,65.996,55.996,10,0,5.648,41.152,38.3,4025.8,0,4025.8,4025.8,4025.8,4025.8,4025.8,4025.8,4025.8,4025.8,0,0,8.3131,131.28,505.7,220.63,220.63,220.63,220.63,220.63,220.63,220.63,220.63,220.63,285.1,270,270,270,285.1,270,285.1,285.1,285.1,39.08,165.88,60.559,18.708,57.041,24,32,1829.1,1829.1,1829.1,1829.1,1829.1,1829.1,1829.1,1829.1,1829.1,67,5.75,228.7,1293.7,2.852,240,158.38,6971.7
8,31.Aug.10,247.57,397.59,0,247.57,106.37,646.98,188.61,118.83,299.68,1588,0,0,0,148.49,76,139.94,75,40,0,72,122,165,315,0,0,0,0,0,111.18,111.18,111.18,111.18,111.18,0,292.05,0,292.05,0,94.01,861,1.7,7.45,18.171,18.9,94.601,107.63,9.97,51.168,947.7,41.6,68.4,18.994,936,5.555,330.68,97.39,58.533,51.521,122,1.7965,65,47.605,27.88,792,792,90,792,792,792,0,792,792,792,792,792,792,28.433,29.222,98.18,19.54,1.26,148.78,49.2,33.569,69.8,57.505,16.86,23.77,38.547,4.278,69.63,6.8648,49.852,111.18,14,1.3,862.92,22,1668.4,35.036,292.05,8,0,0,0,0,0,0,0,695,149.75,8.76,2417.8,2413.4,2413.4,2388.1,2417.8,2413.4,2417.8,2417.8,2417.8,0,4.366,194.3,16.306,1767.8,11.308,65.996,55.996,10,0,4.017,36.411,38.973,3700,0,3700,3700,3700,3700,3700,3700,3700,3700,0,0,6.9754,109.95,517.5,106.37,106.37,106.37,106.37,106.37,106.37,106.37,106.37,106.37,411.1,380.5,380.5,380.5,411.1,380.5,411.1,411.1,411.1,27.83,145.44,50.561,18.039,57.041,24,30,1776.1,1776.1,1776.1,1776.1,1776.1,1776.1,1776.1,1776.1,1776.1,67,2.95,184.35,1187.1,3.076,240,148.53,6374.4
9,30.Sep.10,247.57,397.59,0,247.57,159.69,597.88,188.61,98.18,246.96,1588,0,0,0,113.63,58,100,75,40,0,72,122,165,315,0,0,0,0,0,111.2,111.2,111.2,111.2,111.2,0,226.29,0,226.29,0,70.33,819,0.4,6.08,16.328,17.6,88.331,87.82,7.17,45.392,918.8,39.9,60.4,15.085,912.3,5.2564,289.98,92.46,56.627,35.6,118,0.0815,65,46.653,26.92,752,752,90,752,752,752,0,752,752,752,752,752,752,15.367,28.593,77.25,15.016,1.26,116.52,42.233,31.13,57.47,51.353,14.802,23.77,27.923,3.8837,60.89,6.5322,44.212,111.2,14,1.5,801.67,20,1640.4,33.03,226.29,5,0,0,0,0,0,0,0,650,146.09,8.76,2281.1,2285.4,2285.4,2285.4,2281.1,2285.4,2281.1,2281.1,2281.1,0,0,189.9,13.102,1688.7,8.546,61.159,55.146,6.013,0,2.3517,31.507,38.547,3400,0,3400,3400,3400,3400,3400,3400,3400,3400,0,0,4.097,85.71,710,159.69,159.69,159.69,159.69,159.69,159.69,159.69,159.69,159.69,550.3,547.2,547.2,547.2,550.3,547.2,550.3,550.3,550.3,22.2,125.44,45.897,16.967,57.041,24,27,1730.1,1730.1,1730.1,1730.1,1730.1,1730.1,1730.1,1730.1,1730.1,63.5,1.58,166.38,1112.6,3.842,235,129.84,6041.8
10,31.Oct.10,247.57,397.59,0,247.57,305.59,578.32,188.61,77.25,193.77,2281.1,0,0,0,98.47,40,93.97,75,30,0,71,122,165,305,0,0,0,0,0,116.14,116.14,116.14,116.14,116.14,0,232.73,0,232.73,0,71.73,797,0,5.01,15.814,16.6,82.301,53.01,5.42,39.885,905.3,38.5,55.6,15.484,913.7,5.555,299.22,104.5,56.306,23.4,118,0.242,65,46.642,26.96,712,712,420.06,712,712,712,0,712,712,712,712,712,712,8.75,28.676,61.35,12.687,1.26,116.52,32.533,30,55.57,47.885,13.065,23.77,23.629,4.697,47,4.9,40,116.14,14,2.4834,674.6,17,1645.4,33.552,232.73,4,0,0,0,0,0,0,0,650,145.72,8.76,2266.2,2266.2,2266.2,2266.2,2266.2,2266.2,2266.2,2266.2,2266.2,0,0,161.1,13.772,1660,11,65.996,55.996,10,0,2.888,30.703,42.187,3250,0,3250,3250,3250,3250,3250,3250,3250,3250,0,0,3.1584,74.84,1042.2,305.59,305.59,305.59,305.59,305.59,305.59,305.59,305.59,305.59,736.6,736.6,736.6,736.6,736.6,736.6,736.6,736.6,736.6,25.98,110.88,32.892,17.492,57.041,24,13.613,1744.5,1744.5,1744.5,1744.5,1744.5,1744.5,1744.5,1744.5,1744.5,57,1.38,140,1072.6,5.305,217,113.39,6012.1
