date,gw_vc,gw_sd,gw_ew,gw_av,gw_ch,gw_im
1921-10-31,22.19,11.19,11.03,0,0.86,2.39
1921-11-30,15.43,10.57,9.36,0,0.57,0
1921-12-31,11.73,12.26,12.27,29.79,49.32,8.18
1922-01-31,4.26,9.38,8.18,8.75,15.77,6.18
1922-02-28,0,2.96,3.21,0,3.01,5.95
1922-03-31,0,3.79,2.94,0.96,3.15,0.56
1922-04-30,0,4.59,4.09,0,0,0.22
1922-05-31,4.88,7.54,6.36,0,0,0
1922-06-30,18.62,12.84,12.41,0,0,0
1922-07-31,30.39,18.02,17.93,0,1,0.11
1922-08-31,31.47,20.32,20.38,0,0,2.17
1922-09-30,26.1,19.29,19.13,0,0,0
1922-10-31,22.19,17.89,17.7,0,0,0
1922-11-30,15.43,11.77,10.53,0.14,0.43,5.75
1922-12-31,11.73,9.59,9.56,0.14,0.57,7.46
1923-01-31,4.26,9.85,8.51,1.37,0.43,1.18
1923-02-28,0,3.33,3.36,3.83,4.87,0.26
1923-03-31,0,4.22,3.23,5.47,0.14,0
1923-04-30,0,5.14,4.43,0.27,0.35,3.79
1923-05-31,4.88,8.14,6.76,0,0,2.62
1923-06-30,18.62,13.49,12.8,0,0,0
1923-07-31,30.39,18.74,18.42,0.27,0.14,0.65
1923-08-31,31.47,21.06,20.87,0,3.01,1.44
1923-09-30,26.1,20,19.61,0,0.43,2.62
1923-10-31,22.19,18.54,18.13,0,0,0.04
1923-11-30,15.43,12.11,10.7,8.88,11.31,1.21
1923-12-31,11.73,9.9,9.71,16.95,2.72,0.04
1924-01-31,4.26,5.65,4.26,0,0,0
1924-02-29,0,0,0,0,0,0.13
1924-03-31,0,0.07,0,0.55,0.43,2.81
1924-04-30,0,0.02,0,7.52,3.87,0.13
1924-05-31,4.88,2.34,0.92,5.74,7.31,0
1924-06-30,18.62,7.16,6.4,0,0,0
1924-07-31,30.39,11.83,11.46,0,0,0
1924-08-31,31.47,14.04,13.78,0,0,0
1924-09-30,26.1,13.47,13.01,0,0.72,0
1924-10-31,22.19,12.62,12.15,0,0,0.33
1924-11-30,15.43,8.2,6.75,0,0,1.79
1924-12-31,11.73,6.31,6.08,3.01,5.02,6.83
1925-01-31,4.26,10.15,8.81,0,0.86,1.63
1925-02-28,0,3.57,3.61,0,0,0.38
1925-03-31,0,4.51,3.52,1.37,1.58,0
1925-04-30,0,5.5,4.79,0,0.43,1.84
1925-05-31,4.88,8.54,7.17,0,0.43,0.11
1925-06-30,18.62,13.93,13.25,0,4.59,0.05
1925-07-31,30.39,19.22,18.9,0,1,2.33
1925-08-31,31.47,21.55,21.36,0,0.14,1.68
1925-09-30,26.1,20.46,20.07,0,0,0
1925-10-31,22.19,18.95,18.55,26.24,39.29,1.33
1925-11-30,15.43,12.38,10.97,9.16,0.57,1.28
1925-12-31,11.73,10.14,9.96,5.88,2.44,0.69
1926-01-31,4.26,7.21,5.93,1.37,2.72,3.25
1926-02-28,0,1.14,1.29,0,1.43,2.18
1926-03-31,0,1.64,0.71,0,0.29,1.12
1926-04-30,0,1.94,1.33,27.2,31.11,0.96
1926-05-31,4.88,4.54,3.25,0,0,0
1926-06-30,18.62,9.56,8.98,0,0.29,2.45
1926-07-31,30.39,14.45,14.22,0,0,0.05
1926-08-31,31.47,16.69,16.61,0,2.87,0.16
1926-09-30,26.1,15.91,15.62,0.55,1.43,0
1926-10-31,22.19,14.83,14.52,0,0,5.87
1926-11-30,15.43,9.74,8.4,0,0.14,26.72
1926-12-31,11.73,7.72,7.61,56.03,48.46,1.25
1927-01-31,4.26,10.06,8.84,4.1,1,0
1927-02-28,0,3.51,3.72,10.11,45.16,9.23
1927-03-31,0,4.44,3.58,1.37,4.01,1.6
1927-04-30,0,5.41,4.87,0,0,0.57
1927-05-31,4.88,8.45,7.25,0,0,0
1927-06-30,18.62,13.84,13.36,0,0,0
1927-07-31,30.39,19.11,18.99,0.82,8.17,0.57
1927-08-31,31.47,21.43,21.46,0.14,0.17,0
1927-09-30,26.1,20.33,20.14,0,0,2.28
1927-10-31,22.19,18.84,18.62,8.06,10.04,1.36
1927-11-30,15.43,12.35,11.09,0,7.17,2.68
1927-12-31,11.73,10.12,10.08,43.05,37.28,1.15
1928-01-31,4.26,10.12,8.8,0,0,0.05
1928-02-29,0,3.55,3.6,2.32,8.46,0.31
1928-03-31,0,4.48,3.52,0.82,0.57,1.78
1928-04-30,0,5.47,4.79,0,0,0.31
1928-05-31,4.88,8.5,7.17,0,0,4.04
1928-06-30,18.62,13.89,13.25,0,0,0
1928-07-31,30.39,19.17,18.9,0,0,0
1928-08-31,31.47,21.5,21.36,0,0,0
1928-09-30,26.1,20.42,20.07,0,0,0
1928-10-31,22.19,18.92,18.55,3.01,0.72,0
1928-11-30,15.43,12.35,10.97,0,0.43,2.12
1928-12-31,11.73,10.12,9.96,0,0.43,0.94
1929-01-31,4.26,5.74,4.34,1.09,0.57,0.15
1929-02-28,0,0,0,0,0,2.42
1929-03-31,0,0.17,0,0,1.15,0.4
1929-04-30,0,0.14,0,0,2.72,0
1929-05-31,4.88,2.49,1.02,0,0,0.25
1929-06-30,18.62,7.31,6.52,0,0,0.1
1929-07-31,30.39,12,11.58,0,0,0
1929-08-31,31.47,14.21,13.91,1.37,4.44,0
1929-09-30,26.1,13.62,13.13,1.64,12.04,0.94
1929-10-31,22.19,12.75,12.26,0,0,0
1929-11-30,15.43,8.32,6.83,0,0,0
1929-12-31,11.73,6.41,6.16,0,0,0
1930-01-31,4.26,5.84,4.53,7.38,28.96,3.57
1930-02-28,0,0,0.08,0,0.14,9.11
1930-03-31,0,0.29,0,14.08,9.46,2.91
1930-04-30,0,0.27,0,0.27,0.43,1.21
1930-05-31,4.88,2.65,1.3,6.01,4.73,3.51
1930-06-30,18.62,7.48,6.84,0,0,0
1930-07-31,30.39,12.19,11.91,0,0.57,0
1930-08-31,31.47,14.4,14.25,0,0.14,0
1930-09-30,26.1,13.79,13.44,0,0,0
1930-10-31,22.19,12.9,12.53,0,0,0.39
1930-11-30,15.43,8.44,7.06,0,2.58,0.11
1930-12-31,11.73,6.53,6.37,0,0,0
1931-01-31,4.26,5.73,4.42,1.64,3.15,3.03
1931-02-28,0,0,0,20.09,24.66,1.71
1931-03-31,0,0.16,0,0,0.29,0
1931-04-30,0,0.12,0,11.34,5.88,4.08
1931-05-31,4.88,2.47,1.15,0,0,0
1931-06-30,18.62,7.29,6.66,0,1,3.42
1931-07-31,30.39,11.98,11.72,0,0,0
1931-08-31,31.47,14.19,14.06,4.92,3.44,8.33
1931-09-30,26.1,13.6,13.27,2.46,8.32,0.66
1931-10-31,22.19,12.73,12.38,2.05,1.29,3.87
1931-11-30,15.43,8.3,6.94,1.09,9.61,1.63
1931-12-31,11.73,6.4,6.25,3.55,7.6,9.15
1932-01-31,4.26,10.09,8.85,0,0,2.36
1932-02-29,0,3.54,3.73,18.86,21.94,3.09
1932-03-31,0,4.47,3.59,0,0,0
1932-04-30,0,5.45,4.88,0.14,0.17,0
1932-05-31,4.88,8.5,7.26,0,0.86,1.01
1932-06-30,18.62,13.88,13.38,2.05,1.29,3.43
1932-07-31,30.39,19.16,19,0,0,0
1932-08-31,31.47,21.48,21.48,0,0,0.22
1932-09-30,26.1,20.38,20.16,9.19,3.15,6.57
1932-10-31,22.19,18.88,18.63,0,16.2,0.66
1932-11-30,15.43,12.39,11.1,3.25,0,0
1932-12-31,11.73,10.16,10.09,0.33,6.6,0.71
1933-01-31,4.26,7.15,5.93,18.19,6.88,7.03
1933-02-28,0,1.09,1.29,0,0,0.05
1933-03-31,0,1.59,0.71,0,0,0
1933-04-30,0,1.87,1.33,0.33,2.01,0.25
1933-05-31,4.88,4.46,3.25,1.67,0.14,0
1933-06-30,18.62,9.47,8.98,0.38,0,0.25
1933-07-31,30.39,14.35,14.22,0,0,0
1933-08-31,31.47,16.59,16.61,4.74,0,0.1
1933-09-30,26.1,15.83,15.62,0,0,0
1933-10-31,22.19,14.75,14.52,1.05,0.14,0.58
1933-11-30,15.43,9.67,8.4,6.65,0,0.16
1933-12-31,11.73,7.66,7.6,0,1.86,2.64
1934-01-31,4.26,5.66,4.4,10.1,1.58,2.69
1934-02-28,0,0,0,3.3,1.29,0.16
1934-03-31,0,0.09,0,0.96,0.35,1.59
1934-04-30,0,0.04,0,0,0,0
1934-05-31,4.88,2.37,1.12,0,0,0.16
1934-06-30,18.62,7.18,6.63,0.19,0,0
1934-07-31,30.39,11.87,11.69,0,0,3.43
1934-08-31,31.47,14.08,14.03,0.24,0.72,1.11
1934-09-30,26.1,13.5,13.23,0,0,0
1934-10-31,22.19,12.64,12.35,4.4,0.43,2.6
1934-11-30,15.43,8.22,6.91,12.01,0,1.49
1934-12-31,11.73,6.33,6.23,7.8,3.58,2.98
1935-01-31,4.26,10.15,8.89,11.1,8.46,4.58
1935-02-28,0,3.6,3.77,4.12,18.64,3.42
1935-03-31,0,4.54,3.63,8.42,2.72,1.93
1935-04-30,0,5.53,4.94,2.68,0,3.31
1935-05-31,4.88,8.6,7.33,0,3.73,0
1935-06-30,18.62,13.99,13.45,0,0,0
1935-07-31,30.39,19.27,19.08,0,0,0.28
1935-08-31,31.47,21.6,21.55,6.6,6.74,1.1
1935-09-30,26.1,20.48,20.23,0.33,0,0.61
1935-10-31,22.19,18.97,18.69,0.33,0.14,4.75
1935-11-30,15.43,12.47,11.16,1.53,4.59,0
1935-12-31,11.73,10.23,10.14,0.19,4.59,10.69
1936-01-31,4.26,9.87,8.58,0.19,0.29,0.11
1936-02-29,0,3.34,3.44,15.22,13.62,17.08
1936-03-31,0,4.24,3.31,3.45,1.86,0.11
1936-04-30,0,5.17,4.53,1.91,0.57,2.15
1936-05-31,4.88,8.17,6.87,0,0,0
1936-06-30,18.62,13.53,12.93,0.72,0,0
1936-07-31,30.39,18.77,18.55,0.24,26.81,2.43
1936-08-31,31.47,21.1,21,0.1,4.3,0.79
1936-09-30,26.1,20.03,19.73,0,0,0
1936-10-31,22.19,18.57,18.24,0.19,22.22,15.45
1936-11-30,15.43,12.13,10.79,23.69,7.89,0
1936-12-31,11.73,9.92,9.79,2.78,19.36,11.93
1937-01-31,4.26,9.32,8.06,9.19,3.01,2.78
1937-02-28,0,2.9,3.08,10.86,10.75,12.73
1937-03-31,0,3.72,2.82,12.16,1.29,0.23
1937-04-30,0,4.51,3.93,0.43,0,0
1937-05-31,4.88,7.45,6.18,1.58,0,0.23
1937-06-30,18.62,12.74,12.2,0.72,0,0
1937-07-31,30.39,17.91,17.72,0,2.61,0
1937-08-31,31.47,20.21,20.17,0,0.14,0
1937-09-30,26.1,19.19,18.94,0,0,0.11
