date,gw_mj,gw_ow,gw_sc,gw_mwd,gw_sbv
1921-10-31,0,3.86,9.87,65.81,16.42
1921-11-30,5.41,2.88,16.89,60.46,12.92
1921-12-31,6.02,2.97,15.73,69.56,11.2
1922-01-31,16.29,3.06,36.36,71.25,9.88
1922-02-28,8.67,3.49,36.76,59.39,10.08
1922-03-31,15.69,5.27,22.68,70.09,10.69
1922-04-30,5.46,6,9.84,86.72,14.64
1922-05-31,0,7.67,2.94,97.94,17.69
1922-06-30,0,7.25,0.33,107.19,22.83
1922-07-31,0,6.14,1,116.73,24.8
1922-08-31,0,5.6,0,118.71,23.65
1922-09-30,0,4.96,1.08,110.57,20.17
1922-10-31,3.76,5.85,5.22,100.29,16.42
1922-11-30,3.51,4.9,13.59,65.81,12.92
1922-12-31,2.11,5.06,20.21,60.46,11.2
1923-01-31,8.42,5.03,20.56,69.56,9.88
1923-02-28,3.06,5.4,22.87,57.98,10.08
1923-03-31,1.55,7.09,18.03,68.42,10.69
1923-04-30,11.83,8.25,9.23,84.67,14.64
1923-05-31,0,9.13,2.31,95.62,17.69
1923-06-30,0,8.42,0.5,104.64,22.83
1923-07-31,0,8.03,0.22,113.96,24.8
1923-08-31,0,7.41,1.66,115.89,23.65
1923-09-30,4.56,6.84,2.14,107.95,20.17
1923-10-31,2.71,3.69,7.86,97.91,16.42
1923-11-30,4.01,2.7,6.15,64.24,12.92
1923-12-31,7.62,2.69,15.55,59.02,11.2
1924-01-31,0.5,2.69,16.53,68.83,9.88
1924-02-29,6.52,3.09,11.53,57.37,10.08
1924-03-31,13.69,4.68,8.63,67.7,10.69
1924-04-30,11.38,5.2,4.62,83.78,14.64
1924-05-31,1.65,5.33,9.69,94.61,17.69
1924-06-30,0,5.06,0.8,103.54,22.83
1924-07-31,0,5.1,0.31,112.76,24.8
1924-08-31,0,5.08,0.95,114.68,23.65
1924-09-30,0,4.58,3.04,106.81,20.17
1924-10-31,4.91,3.82,3.77,96.89,16.42
1924-11-30,2.86,2.9,13.35,63.57,12.92
1924-12-31,13.79,2.95,18.4,58.4,11.2
1925-01-31,7.62,2.94,19.2,71.46,9.88
1925-02-28,6.67,3.43,17.33,59.57,10.08
1925-03-31,16.65,5.06,16.69,70.29,10.69
1925-04-30,7.37,5.72,4.62,86.98,14.64
1925-05-31,1.4,6.21,2.83,98.23,17.69
1925-06-30,1.91,6.15,0.72,107.5,22.83
1925-07-31,0,5.84,0.11,117.07,24.8
1925-08-31,0,5.49,0.18,119.06,23.65
1925-09-30,0,4.85,1.18,110.9,20.17
1925-10-31,2.26,3.86,3.77,100.59,16.42
1925-11-30,2.76,2.87,13.35,66,12.92
1925-12-31,5.01,2.89,18.4,60.63,11.2
1926-01-31,1.75,2.87,19.2,75.3,9.88
1926-02-28,3.81,3.3,17.33,62.77,10.08
1926-03-31,1.7,4.97,16.69,74.07,10.69
1926-04-30,21.26,5.8,4.62,91.65,14.64
1926-05-31,2.51,6.15,2.83,103.51,17.69
1926-06-30,0,5.63,0.72,113.28,22.83
1926-07-31,0,5.4,0.11,123.36,24.8
1926-08-31,0,5.3,0.18,125.46,23.65
1926-09-30,0,4.78,1.18,116.86,20.17
1926-10-31,0,4.49,8.96,105.99,16.42
1926-11-30,6.92,3.78,19.52,69.54,12.92
1926-12-31,8.92,3.77,31.49,63.89,11.2
1927-01-31,7.42,3.67,33.75,69.56,9.88
1927-02-28,13.24,4.8,24.26,57.98,10.08
1927-03-31,7.17,6.35,28.32,68.42,10.69
1927-04-30,2.91,7.11,17.37,84.67,14.64
1927-05-31,1.1,8.25,2.06,95.62,17.69
1927-06-30,0,7.93,0.59,104.64,22.83
1927-07-31,0,6.88,0.17,113.96,24.8
1927-08-31,0,6.22,0.48,115.89,23.65
1927-09-30,0,5.57,1.81,107.95,20.17
1927-10-31,8.27,3.82,9.87,97.91,16.42
1927-11-30,7.27,2.97,16.89,64.24,12.92
1927-12-31,10.78,2.88,15.73,59.02,11.2
1928-01-31,2.01,2.88,36.36,71.46,9.88
1928-02-29,5.01,3.26,36.76,59.57,10.08
1928-03-31,4.26,4.99,22.68,70.29,10.69
1928-04-30,1,5.44,9.84,86.98,14.64
1928-05-31,5.77,5.85,2.94,98.23,17.69
1928-06-30,0,5.68,0.33,107.5,22.83
1928-07-31,0,5.34,1,117.07,24.8
1928-08-31,0,5.24,0,119.06,23.65
1928-09-30,0,4.72,1.08,110.9,20.17
1928-10-31,0,3.62,7.86,100.59,16.42
1928-11-30,6.17,2.67,6.15,66,12.92
1928-12-31,9.28,2.68,15.55,60.63,11.2
1929-01-31,12.53,2.69,16.53,68.83,9.88
1929-02-28,2.26,3.09,11.53,57.37,10.08
1929-03-31,15.29,4.77,8.63,67.7,10.69
1929-04-30,5.51,5.3,4.62,83.78,14.64
1929-05-31,0,5.76,9.69,94.61,17.69
1929-06-30,0,5.54,0.8,103.54,22.83
1929-07-31,0,5.32,0.31,112.76,24.8
1929-08-31,0,5.14,0.95,114.68,23.65
1929-09-30,0,4.61,3.04,106.81,20.17
1929-10-31,0,4.04,3.77,96.89,16.42
1929-11-30,0,3.06,13.35,63.57,12.92
1929-12-31,0.75,3.07,18.4,58.4,11.2
1930-01-31,13.29,3.09,19.2,68.83,9.88
1930-02-28,9.02,3.58,17.33,57.37,10.08
1930-03-31,7.52,5.32,16.69,67.7,10.69
1930-04-30,0,5.94,4.62,83.78,14.64
1930-05-31,12.28,6.1,2.83,94.61,17.69
1930-06-30,0,6.28,0.72,103.54,22.83
1930-07-31,0,5.75,0.11,112.76,24.8
1930-08-31,0,5.55,0.18,114.68,23.65
1930-09-30,0.4,5.01,1.18,106.81,20.17
1930-10-31,1.1,4.25,7.86,96.89,16.42
1930-11-30,10.03,3.29,6.15,63.57,12.92
1930-12-31,0,3.28,15.55,58.4,11.2
1931-01-31,15.04,3.3,24.98,68.83,9.88
1931-02-28,12.53,3.71,14.45,57.37,10.08
1931-03-31,2.51,5.32,6.81,67.7,10.69
1931-04-30,3.76,5.8,4.1,83.78,14.64
1931-05-31,0.5,6.03,9.88,94.61,17.69
1931-06-30,1.5,5.81,0.56,103.54,22.83
1931-07-31,0,5.72,0,112.76,24.8
1931-08-31,0,5.69,0,114.68,23.65
1931-09-30,0,5.2,0,106.81,20.17
1931-10-31,0,4.04,0.93,96.89,16.42
1931-11-30,7.27,3.07,22.37,63.57,12.92
1931-12-31,22.96,3.18,50.53,58.4,11.2
1932-01-31,10.28,3.24,24.8,69.56,9.88
1932-02-29,17.05,3.83,26.85,57.98,10.08
1932-03-31,4.76,5.75,2.42,68.42,10.69
1932-04-30,8.27,6.63,3.45,84.67,14.64
1932-05-31,6.02,7.15,0.84,95.62,17.69
1932-06-30,0,7.27,0,104.64,22.83
1932-07-31,0,6.53,0,113.96,24.8
1932-08-31,0,5.77,0,115.89,23.65
1932-09-30,3.26,5.11,0,107.95,20.17
1932-10-31,1,3.65,0,97.91,16.42
1932-11-30,2.51,2.64,4.01,64.24,12.92
1932-12-31,12.78,2.65,18.64,59.02,11.2
1933-01-31,22.46,2.69,35.98,75.3,9.88
1933-02-28,4.61,3.12,2.05,62.77,10.08
1933-03-31,0,4.85,17.99,74.07,10.69
1933-04-30,2.41,5.45,1.4,91.65,14.64
1933-05-31,4.01,5.47,4.19,103.51,17.69
1933-06-30,3.36,6.1,0.09,113.28,22.83
1933-07-31,0,5.54,0,123.36,24.8
1933-08-31,0,5.17,0,125.46,23.65
1933-09-30,0,4.6,0,116.86,20.17
1933-10-31,0,3.9,8.95,105.99,16.42
1933-11-30,4.88,2.91,0,69.54,12.92
1933-12-31,0.5,2.98,33.56,63.89,11.2
1934-01-31,27.28,3.01,7.27,68.83,9.88
1934-02-28,0,3.37,26.57,57.37,10.08
1934-03-31,0,5.07,0,67.7,10.69
1934-04-30,0.5,5.6,1.77,83.78,14.64
1934-05-31,2.51,5.63,9.6,94.61,17.69
1934-06-30,0.57,5.4,4.1,103.54,22.83
1934-07-31,0,5.38,0,112.76,24.8
1934-08-31,7.11,5.34,0,114.68,23.65
1934-09-30,0,4.84,4.01,106.81,20.17
1934-10-31,1.58,3.99,5.13,96.89,16.42
1934-11-30,9.98,3.04,23.21,63.57,12.92
1934-12-31,0,3.07,30.76,58.4,11.2
