date,gw_11,gw_12,gw_13,gw_14,gw_15
31.10.1921,22.78,-5.47,0.99,66.93,-556.22
30.11.1921,8.14,-3.55,4.96,47.21,10.38
31.12.1921,43.85,41.6,62.59,38.57,91.45
31.01.1922,22.49,5.19,19.64,31.9,54.75
28.02.1922,67.77,43.37,83.14,28.56,70.68
31.03.1922,8.86,2.11,26.09,26.61,73.42
30.04.1922,20.87,10.46,25.77,24.76,72.85
31.05.1922,117.71,94.72,88.52,50.12,247.29
30.06.1922,31.41,40.47,50.21,71.17,214.06
31.07.1922,-105.85,-77.32,-20.09,48.92,45.22
31.08.1922,-55.38,-38.88,-31.02,41.65,36.88
30.09.1922,-22.15,-17.3,-11.6,18.43,5.8
31.10.1922,-3.61,-5.98,-4.33,23.18,11.28
30.11.1922,15.07,8.33,3.02,17.17,26.38
31.12.1922,61.51,43,51.13,17.03,50.06
31.01.1923,21.55,6.28,22.54,15.21,31.73
28.02.1923,-8.15,-5.76,13.91,14.36,29.95
31.03.1923,-10.79,-8.94,12.23,24.78,64.33
30.04.1923,46.52,40.01,58.51,15.96,97.28
31.05.1923,40.94,28.82,56.8,28.34,95.77
30.06.1923,-15.67,1.59,5.04,35.05,54.06
31.07.1923,-27.53,-9.77,0.85,40.8,52.8
31.08.1923,-31.47,-23.46,-20.33,32.57,27.51
30.09.1923,-10.54,-8.49,-3.59,10.9,14.64
31.10.1923,12.22,5.17,2.19,15.3,19.41
30.11.1923,-13.06,-11.03,-3.61,9.42,14.09
31.12.1923,0.18,-5.04,-1.68,8.36,14.32
31.01.1924,1.78,-1.3,-0.61,10.87,24.12
29.02.1924,-4.24,-3.33,-3.27,7.45,24.69
31.03.1924,-3.13,-1.56,5.51,13.27,48.55
30.04.1924,1.67,3.42,21.1,10.17,77.94
31.05.1924,3.2,9.4,31.96,20.98,66.06
30.06.1924,-0.26,-10.63,-13.31,31.2,39.76
31.07.1924,3.48,-8.77,-0.67,33.09,53.35
31.08.1924,5.25,-5.48,4.58,29,46.52
30.09.1924,3.94,-3.51,8.01,3.06,22.09
