date,gw_16,gw_17,gw_18,gw_19,gw_20,gw_21
31.10.1921,77.7,20.04,15.17,171.53,32,165.45
30.11.1921,46.4,12.34,8.17,113.43,22.47,116.13
31.12.1921,34.73,12.91,64.93,101.53,19.8,86.89
31.01.1922,25.4,14.51,34.69,79.21,17.98,69.42
28.02.1922,23.66,18.96,43.74,73.8,17.03,58.68
31.03.1922,21.49,13.49,40.11,60.06,15.03,62.06
30.04.1922,18.11,12.78,16.71,51.46,16.76,52.24
31.05.1922,23.07,12.76,56.92,75.76,15.38,59.34
30.06.1922,24.47,18.16,50.94,62.82,10.19,58.25
31.07.1922,11.2,9,19.94,61.59,13.36,55.23
31.08.1922,4.46,4.48,11.72,56.68,11.56,52.98
30.09.1922,5.22,5.88,3.86,40.1,11.08,30.58
31.10.1922,3.56,3.04,1.2,39.59,9.24,31.78
30.11.1922,4.22,2.89,5.18,36.8,9.34,27.37
31.12.1922,4.54,6.57,38.75,40.83,9.98,25.47
31.01.1923,3.21,5.49,13.06,35.92,9.47,26.79
28.02.1923,3.09,4.8,-0.99,36.5,7.67,23.61
31.03.1923,4.65,1.75,6.16,39.76,6.83,34.13
30.04.1923,9.19,4.83,58.92,34.62,11.13,32.04
31.05.1923,10.47,11.17,43.89,44.57,8.82,38.99
30.06.1923,7.63,5.95,23.15,51.46,4.65,45.75
31.07.1923,4.02,4.59,16.96,49.82,8.18,45.83
31.08.1923,0.69,0.67,8.74,47.54,6.55,42.93
30.09.1923,2.87,4.13,0.94,32.64,7.22,19.95
31.10.1923,1.71,1.95,-0.38,33.58,5.66,21.85
30.11.1923,1.94,1.64,-2.41,30.76,6.25,19.58
31.12.1923,1.38,1.42,-3.09,29.19,6.36,18.63
31.01.1924,0.26,0.34,-3.23,31.9,4.56,23.7
29.02.1924,1.01,0.89,-1.18,29.94,5.32,18.28
31.03.1924,-0.78,-1.29,17.92,37,3.56,23.23
30.04.1924,2.46,2.31,7.57,30.32,6.32,25.38
31.05.1924,1.66,2.51,8.59,34.83,5.32,38.44
30.06.1924,-1.97,-3.21,6.29,48.72,2.23,44.88
31.07.1924,-2.39,-4,5.24,46.94,4.36,47.54
31.08.1924,-1.49,-2.9,6.31,45.34,4.17,41.61
30.09.1924,1.51,1.62,-3.32,29.43,4.01,19.82
31.10.1924,1.23,0.67,-6.2,29.57,2.76,19.34
30.11.1924,2.21,1.55,4.54,28.01,4.78,17.51
31.12.1924,1.8,2.34,23.82,28.14,5.51,16.34
31.01.1925,1.25,2.23,-0.53,28.85,4.43,18.16
28.02.1925,2.35,4.04,6.6,28.95,5.11,15.16
31.03.1925,3.25,1.92,21.1,38.61,4.29,25.33
30.04.1925,6.58,2.13,10.56,28.04,6.53,24.88
31.05.1925,11.47,9.24,5.99,34.4,5.23,31.19
30.06.1925,6.88,5.28,4.02,48.86,2.98,34.51
31.07.1925,2.45,1.46,8.55,44.77,5.12,34.33
31.08.1925,0.21,0.02,8.14,44.5,5.35,33.2
30.09.1925,1.62,2.94,-1.94,28.6,4.13,15.63
31.10.1925,0,1.34,-2.79,29.5,2.83,16.88
30.11.1925,2.18,1.3,-4.3,26.71,4.19,14.58
31.12.1925,1.34,1.29,-0.83,26.09,4.71,14.09
31.01.1926,0.4,0.74,-1.42,26.13,3.15,17.66
28.02.1926,1.72,1.99,15.96,28.26,4.74,13.9
31.03.1926,2.21,1.36,-3.17,32.03,0.75,20.16
30.04.1926,12.89,5.19,37.39,32.43,6.83,26.01
31.05.1926,7.41,7.31,6.58,42.53,4.87,30.07
