date,gw_06,gw_07,gw_08,gw_09,gw_10,gw_11,gw_12,gw_13,gw_14,gw_15
1921-10-31,69.15,10.92,38.7,-31.37,10.34,22.78,-5.47,0.99,66.93,-556.22
1921-11-30,33.7,5.68,24.58,-9.85,12.66,8.14,-3.55,4.96,47.21,10.38
1921-12-31,78.23,20.61,32.84,86.65,80.04,43.85,41.6,62.59,38.57,91.45
1922-01-31,16.51,3.76,23.95,35.68,1.02,22.49,5.19,19.64,31.9,54.75
1922-02-28,124.31,34.18,54.4,110.52,59.97,67.77,43.37,83.14,28.56,70.68
1922-03-31,-6.78,9.58,29.03,7.08,-5.24,8.86,2.11,26.09,26.61,73.42
1922-04-30,0.86,15.23,29.79,13.49,9.31,20.87,10.46,25.77,24.76,72.85
1922-05-31,-1.22,24.18,34.21,71.22,108.28,117.71,94.72,88.52,50.12,247.29
1922-06-30,-29.38,-4.54,25.05,18.52,22.37,31.41,40.47,50.21,71.17,214.06
1922-07-31,-40.66,-19.26,6.47,-55.15,-81.46,-105.85,-77.32,-20.09,48.92,45.22
1922-08-31,-25.66,-7.91,4.91,-47.26,-58.3,-55.38,-38.88,-31.02,41.65,36.88
1922-09-30,-8.2,1.49,9.34,-17.13,-27.52,-22.15,-17.3,-11.6,18.43,5.8
1922-10-31,10.98,7.46,12.63,-1.8,-7.48,-3.61,-5.98,-4.33,23.18,11.28
1922-11-30,37.21,10.4,16.55,15.2,7.04,15.07,8.33,3.02,17.17,26.38
1922-12-31,122.27,34.46,40.76,108.07,49.49,61.51,43,51.13,17.03,50.06
1923-01-31,23.4,7.39,31.34,45.35,-2.24,21.55,6.28,22.54,15.21,31.73
1923-02-28,-12.02,-1.68,16.59,-6.78,-3.91,-8.15,-5.76,13.91,14.36,29.95
1923-03-31,-15.04,5.5,15.7,-1.53,4.03,-10.79,-8.94,12.23,24.78,64.33
1923-04-30,28.24,23.2,31.87,58.36,67.76,46.52,40.01,58.51,15.96,97.28
1923-05-31,-25.53,-1.22,20.03,39.24,56.6,40.94,28.82,56.8,28.34,95.77
1923-06-30,-29.2,-4.63,13.34,-14.24,-31.91,-15.67,1.59,5.04,35.05,54.06
1923-07-31,-28.06,-3.42,8.54,-27.3,-38.75,-27.53,-9.77,0.85,40.8,52.8
1923-08-31,-18.41,1.44,7.47,-25.58,-35.93,-31.47,-23.46,-20.33,32.57,27.51
