,t-24,t-23,t-22,t-21,t-20,t-19,t-18,t-17,t-16,t-15,t-14,t-13,t-12,t-11,t-10,t-9,t-8,t-7,t-6,t-5,t-4,t-3,t-2,t-1,t-0
0,1.0,0.5449409,0.4206276,0.285178,0.3409363,0.20944716,0.15914652,0.1290646,0.07694064,0.060861494,0.05625626,0.05660499,0.06245176,0.102488466,0.1366037,0.12421602,0.08295605,0.07120231,0.08882344,0.016933784,0.030711763,0.026790045,0.027318,0.039947927,0.034969192
1,0.5449409,0.4206276,0.285178,0.3409363,0.20944716,0.15914652,0.1290646,0.07694064,0.060861494,0.05625626,0.05660499,0.06245176,0.102488466,0.1366037,0.12421602,0.08295605,0.07120231,0.08882344,0.016933784,0.030711763,0.026790045,0.027318,0.039947927,0.034969192,0.027876146
2,0.4206276,0.285178,0.3409363,0.20944716,0.15914652,0.1290646,0.07694064,0.060861494,0.05625626,0.05660499,0.06245176,0.102488466,0.1366037,0.12421602,0.08295605,0.07120231,0.08882344,0.016933784,0.030711763,0.026790045,0.027318,0.039947927,0.034969192,0.027876146,0.03946633
3,0.285178,0.3409363,0.20944716,0.15914652,0.1290646,0.07694064,0.060861494,0.05625626,0.05660499,0.06245176,0.102488466,0.1366037,0.12421602,0.08295605,0.07120231,0.08882344,0.016933784,0.030711763,0.026790045,0.027318,0.039947927,0.034969192,0.027876146,0.03946633,0.052409906
4,0.3409363,0.20944716,0.15914652,0.1290646,0.07694064,0.060861494,0.05625626,0.05660499,0.06245176,0.102488466,0.1366037,0.12421602,0.08295605,0.07120231,0.08882344,0.016933784,0.030711763,0.026790045,0.027318,0.039947927,0.034969192,0.027876146,0.03946633,0.052409906,0.08490409
5,0.20944716,0.15914652,0.1290646,0.07694064,0.060861494,0.05625626,0.05660499,0.06245176,0.102488466,0.1366037,0.12421602,0.08295605,0.07120231,0.08882344,0.016933784,0.030711763,0.026790045,0.027318,0.039947927,0.034969192,0.027876146,0.03946633,0.052409906,0.08490409,0.013312044
6,0.15914652,0.1290646,0.07694064,0.060861494,0.05625626,0.05660499,0.06245176,0.102488466,0.1366037,0.12421602,0.08295605,0.07120231,0.08882344,0.016933784,0.030711763,0.026790045,0.027318,0.039947927,0.034969192,0.027876146,0.03946633,0.052409906,0.08490409,0.013312044,0.0
7,0.1290646,0.07694064,0.060861494,0.05625626,0.05660499,0.06245176,0.102488466,0.1366037,0.12421602,0.08295605,0.07120231,0.08882344,0.016933784,0.030711763,0.026790045,0.027318,0.039947927,0.034969192,0.027876146,0.03946633,0.052409906,0.08490409,0.013312044,0.0,0.018017977
8,0.07694064,0.060861494,0.05625626,0.05660499,0.06245176,0.102488466,0.1366037,0.12421602,0.08295605,0.07120231,0.08882344,0.016933784,0.030711763,0.026790045,0.027318,0.039947927,0.034969192,0.027876146,0.03946633,0.052409906,0.08490409,0.013312044,0.0,0.018017977,0.028883658
9,0.060861494,0.05625626,0.05660499,0.06245176,0.102488466,0.1366037,0.12421602,0.08295605,0.07120231,0.08882344,0.016933784,0.030711763,0.026790045,0.027318,0.039947927,0.034969192,0.027876146,0.03946633,0.052409906,0.08490409,0.013312044,0.0,0.018017977,0.028883658,0.02481699
